bus,gen_id,fuel,unit_type
6297,1,NG,UN
6301,U4,NG,UN
6302,U2,NG,UN
6303,U1,NG,UN
6304,U3,NG,UN
6329,CS,SUN,UN
7005,1,NG,UN
7006,1,NG,UN
7007,1,NG,UN
7008,1,NG,UN
7009,1,NG,UN
7021,7,NG,UN
7022,8,NG,UN
7023,9,NG,UN
7024,10,NG,UN
7029,1,NG,UN
7029,2,NG,UN
7029,3,NG,UN
7031,1,NG,UN
7032,1,NG,UN
7033,1,NG,UN
7034,1,NG,UN
7045,7,NG,UN
7046,5,NG,UN
7054,1,NG,UN
7054,2,NG,UN
7058,1,NG,UN
7058,2,NG,UN
7058,3,NG,UN
7058,4,NG,UN
7058,5,NG,UN
7061,1,NG,UN
7062,1,NG,UN
7063,1,NG,UN
7064,1,NG,UN
7065,1,NG,UN
7066,1,NG,UN
7075,1,OTH,UN
7075,2,OTH,UN
7079,2,NG,UN
7080,1,NG,UN
7086,1,OTH,UN
7098,1,NUC,UN
7099,2,NUC,UN
7107,1,NG,UN
7108,1,NG,UN
7109,1,NG,UN
7110,1,NG,UN
7111,1,NG,UN
7112,1,NG,UN
7116,1,SUN,UN
7133,1,NG,UN
7134,1,NG,UN
7135,1,NG,UN
7136,1,NG,UN
7137,1,NG,UN
7144,1,NG,UN
7159,32,NG,UN
7159,33,NG,UN
7159,34,NG,UN
7159,41,NG,UN
7159,42,NG,UN
7159,43,NG,UN
7159,44,NG,UN
7159,8,NG,UN
7162,3,NG,UN
7163,4,NG,UN
7164,51,NG,UN
7165,52,NG,UN
7166,53,NG,UN
7167,54,NG,UN
7168,55,NG,UN
7169,56,NG,UN
7170,31,NG,UN
7184,1,NG,UN
7184,2,NG,UN
7184,3,NG,UN
7184,4,NG,UN
7184,5,NG,UN
7184,6,NG,UN
7184,7,NG,UN
7184,8,NG,UN
7224,1,NG,UN
7224,2,NG,UN
7230,1,SUN,UN
7266,1,NG,UN
7267,1,NG,UN
7268,1,NG,UN
7269,1,NG,UN
7280,1,NG,UN
7281,1,NG,UN
7284,4,NG,UN
7285,41,NG,UN
7286,42,NG,UN
7307,1,NG,UN
7308,1,NG,UN
7309,1,NG,UN
7312,1,OTH,UN
7323,1,NG,UN
7324,1,NG,UN
7325,1,NG,UN
7326,1,NG,UN
7329,1,NG,UN
7334,1,NG,UN
7335,1,NG,UN
7349,5,BIT,UN
7350,6,BIT,UN
7351,8,BIT,UN
7352,7,BIT,UN
7353,4,NG,UN
7354,3,NG,UN
7355,1,NG,UN
7356,2,NG,UN
7357,1,NG,UN
7369,1,NG,UN
7370,1,NG,UN
7371,1,NG,UN
7372,1,NG,UN
7373,1,NG,UN
7392,1,NG,UN
7400,73,NG,UN
7400,74,NG,UN
7400,81,NG,UN
7400,82,NG,UN
7400,84,NG,UN
7403,1,NG,UN
7403,2,NG,UN
7403,3,NG,UN
7403,4,NG,UN
7414,1,NG,UN
7414,2,NG,UN
7422,1,MWH,UN
7428,1,NG,UN
8020,1,SUN,UN
8033,1,MWH,UN
8046,1,NG,UN
8047,1,NG,UN
8048,1,NG,UN
8049,1,NG,UN
8050,1,NG,UN
8051,1,NG,UN
8070,2,BIT,UN
8071,1,BIT,UN
8077,1,NG,UN
8078,1,NG,UN
8079,1,NG,UN
8080,1,NG,UN
8087,1,BIT,UN
8088,1,BIT,UN
8099,1,OBL,UN
8115,1,NG,UN
8116,1,NG,UN
8139,1,NG,UN
8139,2,NG,UN
8141,1,MWH,UN
8152,7,NG,UN
8158,2,NG,UN
8158,3,NG,UN
12502,2,BIT,UN
12503,3,BIT,UN
12504,1,BIT,UN
12506,1,NG,UN
12507,1,NG,UN
12508,U1,NG,UN
12509,U4,NG,UN
12510,U2,NG,UN
12511,U3,NG,UN
12512,U5,NG,UN
12513,U6,NG,UN
12514,1,NG,UN
12515,1,NG,UN
12516,1,NG,UN
12517,1,NG,UN
12518,1,NG,UN
12519,1,NG,UN
12520,1,NG,UN
12521,1,NG,UN
12522,1,NG,UN
12524,2,BIT,UN
12525,1,BIT,UN
12526,1,NG,UN
12527,1,NG,UN
12529,4,NG,UN
12530,5,NG,UN
12531,3,NG,UN
12532,1,NG,UN
12533,1,NG,UN
12534,1,NG,UN
12537,2,NG,UN
12538,1,NG,UN
12540,1,NG,UN
12541,1,NG,UN
12542,1,NG,UN
12543,1,NG,UN
12545,1,SUN,UN
12546,1,MWH,UN
12548,1,NG,UN
12549,1,NG,UN
12550,1,NG,UN
12551,1,NG,UN
12552,1,NG,UN
12553,1,NG,UN
12557,1,NG,UN
12558,1,NG,UN
12559,1,NG,UN
12561,1,NG,UN
12562,1,NG,UN
12563,1,NG,UN
12568,1,NG,UN
12569,1,NG,UN
12570,1,NG,UN
12571,1,NG,UN
12572,1,NG,UN
12574,1,NG,UN
12574,2,NG,UN
12575,1,NG,UN
12576,1,NG,UN
12577,1,NG,UN
12578,1,NG,UN
12579,1,NG,UN
12580,1,NG,UN
12583,1,SUN,UN
12586,1,SUN,UN
12588,1,SUN,UN
12589,1,MWH,UN
12591,1,MWH,UN
12592,1,SUN,UN
12594,2,WND,UN
12594,BA,MWH,UN
12595,1,WND,UN
12597,1,NG,UN
12598,1,NG,UN
12599,1,NG,UN
12602,1,MWH,UN
12603,1,NG,UN
12604,1,NG,UN
12605,1,NG,UN
12606,1,NG,UN
12609,1,WND,UN
12610,3,NG,UN
12611,1,NG,UN
12612,2,NG,UN
12614,1,NG,UN
12615,1,NG,UN
12616,1,NG,UN
12619,1,SUN,UN
12622,ST,NG,UN
12623,1,NG,UN
12624,1,NG,UN
12626,1,NG,UN
12627,1,NG,UN
12628,1,NG,UN
12631,1,WND,UN
12634,1,SUN,UN
12635,1,SUN,UN
12638,1,WND,UN
12641,1,MWH,UN
12643,1,NG,UN
12644,1,NG,UN
12645,1,NG,UN
12647,1,WND,UN
12649,1,NG,UN
12650,1,NG,UN
12651,1,NG,UN
12652,1,NG,UN
12653,1,NG,UN
12654,1,NG,UN
12655,1,NG,UN
12657,1,SUN,UN
12658,1,MWH,UN
12661,1,SUN,UN
12662,1,MWH,UN
12665,1,SUN,UN
12666,1,MWH,UN
12668,1,NG,UN
12669,1,NG,UN
12670,1,NG,UN
12671,1,NG,UN
12672,1,NG,UN
12673,1,NG,UN
12675,1,SUN,UN
12677,1,WND,UN
12678,1,MWH,UN
12680,1,MWH,UN
12681,1,SUN,UN
12682,1,NG,UN
12683,1,NG,UN
12684,1,NG,UN
12685,1,NG,UN
12686,1,NG,UN
12687,1,SUN,UN
12688,1,SUN,UN
12689,1,NG,UN
12689,10,NG,UN
12689,2,NG,UN
12689,3,NG,UN
12689,4,NG,UN
12689,5,NG,UN
12689,6,NG,UN
12689,7,NG,UN
12689,8,NG,UN
12689,9,NG,UN
12692,1,NG,UN
12693,1,NG,UN
12694,1,NG,UN
12695,1,NG,UN
12697,1,SUN,UN
12700,1,NG,UN
12701,1,NG,UN
12702,1,NG,UN
12703,1,NG,UN
12705,1,NG,UN
12706,1,NG,UN
12708,1,SUN,UN
12710,1,SUN,UN
12711,1,MWH,UN
12713,1,SUN,UN
12716,1,SUN,UN
12717,1,MWH,UN
12720,1,MWH,UN
12722,1,DFO,UN
12723,1,DFO,UN
12724,1,DFO,UN
12725,1,DFO,UN
12726,1,DFO,UN
12727,1,DFO,UN
12729,3,NG,UN
12730,2,NG,UN
12731,1,NG,UN
12732,4,NG,UN
12733,1,WND,UN
12734,2,WND,UN
12737,1,WND,UN
12739,1,NG,UN
12740,1,NG,UN
12741,1,NG,UN
12742,1,NG,UN
12742,2,NG,UN
12742,3,NG,UN
12742,4,NG,UN
12742,5,NG,UN
12742,6,NG,UN
12742,7,NG,UN
12742,8,NG,UN
12743,1,NG,UN
12743,2,NG,UN
12743,3,NG,UN
12743,4,NG,UN
12743,5,NG,UN
12743,6,NG,UN
12743,7,NG,UN
12743,8,NG,UN
12745,1,WND,UN
12748,1,SUN,UN
12750,1,SUN,UN
12753,SD,WND,UN
12756,1,WND,UN
12758,1,SUN,UN
12759,1,MWH,UN
12760,83,NG,UN
12761,1,NG,UN
12761,2,NG,UN
12761,3,NG,UN
12761,4,NG,UN
12761,5,NG,UN
12761,6,NG,UN
12764,1,SUN,UN
12765,1,MWH,UN
12766,1,SUN,UN
12769,1,SUN,UN
12771,1,SUN,UN
12773,1,WND,UN
12775,1,SUN,UN
12776,2,BIT,UN
12777,1,BIT,UN
12779,1,SUN,UN
12780,1,MWH,UN
12782,1,MWH,UN
12785,1,SUN,UN
12786,1,MWH,UN
12789,1,SUN,UN
12790,1,SUN,UN
12792,1,WND,UN
12794,1,WND,UN
12797,1,WND,UN
12799,1,WND,UN
12800,1,WND,UN
12802,2,WND,UN
12805,1,NG,UN
12806,1,NG,UN
12809,1,WND,UN
12812,1,WND,UN
12815,1,WND,UN
12818,1,WND,UN
12821,1,WND,UN
12824,1,SUN,UN
12827,1,WND,UN
12828,1,SUN,UN
12830,1,WND,UN
12833,1,SUN,UN
12836,1,MWH,UN
12839,1,WND,UN
12841,1,WND,UN
12844,1,WND,UN
12845,1,WND,UN
12848,1,WND,UN
12849,1,NG,UN
12850,1,NG,UN
12853,1,SUN,UN
12854,1,MWH,UN
12856,1,WND,UN
12859,1,WND,UN
12861,1,NG,UN
12861,2,NG,UN
12861,3,NG,UN
12861,4,NG,UN
12861,5,NG,UN
12861,6,NG,UN
12862,1,NG,UN
12862,2,NG,UN
12862,3,NG,UN
12862,4,NG,UN
12862,5,NG,UN
12862,6,NG,UN
12864,1,NG,UN
12865,1,NG,UN
12868,1,WND,UN
12870,1,NG,UN
12871,1,NG,UN
12872,1,NG,UN
12873,ST,NG,UN
12874,1,MWH,UN
12875,1,SUN,UN
12878,1,SUN,UN
12881,1,MWH,UN
12884,1,WND,UN
12887,1,WND,UN
12890,1,SUN,UN
12892,1,SUN,UN
12895,1,SUN,UN
12896,1,MWH,UN
12899,1,WND,UN
12902,1,SUN,UN
12904,1,SUN,UN
12905,1,MWH,UN
12907,1,WND,UN
12908,1,WND,UN
12909,1,SUN,UN
12911,1,SUN,UN
12913,1,SUN,UN
12915,1,SUN,UN
12917,1,SUN,UN
12919,1,SUN,UN
12920,1,SUN,UN
12921,1,SUN,UN
12923,1,MWH,UN
12924,1,SUN,UN
12925,1,SUN,UN
12927,1,SUN,UN
12928,1,MWH,UN
12929,1,SUN,UN
12930,1,WND,UN
12931,1,WND,UN
12932,1,SUN,UN
12933,1,NG,UN
12934,1,NG,UN
12936,1,WND,UN
12938,1,WND,UN
12940,1,WND,UN
12941,1,WND,UN
12943,1,SUN,UN
12944,1,MWH,UN
12946,1,SUN,UN
12947,1,SUN,UN
12949,1,SUN,UN
12950,1,SUN,UN
12952,1,SUN,UN
12954,1,SUN,UN
12955,1,MWH,UN
12956,1,WND,UN
12957,1,WND,UN
12958,1,NG,UN
12959,1,WND,UN
12960,1,WND,UN
12961,6,NG,UN
12963,1,WND,UN
12964,1,WND,UN
12966,1,WND,UN
12967,1,SUN,UN
12968,1,SUN,UN
12969,1,MWH,UN
12971,1,WND,UN
12973,1,SUN,UN
12975,1,MWH,UN
12977,1,WND,UN
12979,1,WND,UN
12981,1,SUN,UN
12983,1,SUN,UN
12985,1,WND,UN
12986,1,MWH,UN
12987,1,SUN,UN
12988,1,SUN,UN
12989,1,MWH,UN
12990,1,WND,UN
12992,1,SUN,UN
12993,1,MWH,UN
12994,1,NG,UN
12995,1,NG,UN
12997,1,SUN,UN
12998,1,NG,UN
13000,1,SUN,UN
13001,1,MWH,UN
13003,1,WND,UN
13005,1,WND,UN
13007,1,SUN,UN
13009,1,SUN,UN
13011,1,WND,UN
13013,1,WND,UN
13014,1,WND,UN
13015,1,MWH,UN
13016,1,NG,UN
13017,1,WND,UN
13019,1,SUN,UN
13020,1,SUN,UN
13021,1,SUN,UN
13023,1,SUN,UN
13024,1,SUN,UN
13026,1,WND,UN
13028,BA,MWH,UN
13030,1,WND,UN
13032,1,WND,UN
13033,1,WND,UN
13035,1,WND,UN
13037,1,WND,UN
13039,1,SUN,UN
13040,1,MWH,UN
13042,1,WND,UN
13043,1,WND,UN
13044,1,MWH,UN
13045,1,SUN,UN
13047,1,WND,UN
13048,1,WND,UN
13049,1,WND,UN
13050,1,WND,UN
13052,1,WND,UN
13054,1,WND,UN
13056,1,WND,UN
13058,1,WND,UN
13060,1,WND,UN
13062,1,WND,UN
13064,1,WND,UN
13066,1,WND,UN
13068,1,WND,UN
13070,1,WND,UN
13072,1,SUN,UN
13074,1,SUN,UN
13076,1,WND,UN
13078,1,SUN,UN
13080,1,SUN,UN
13081,1,SUN,UN
13082,1,SUN,UN
13084,1,SUN,UN
13086,1,MWH,UN
13088,1,MWH,UN
13090,1,MWH,UN
13092,1,SUN,UN
13094,1,MWH,UN
13096,1,MWH,UN
13098,1,MWH,UN
13100,1,SUN,UN
13102,1,SUN,UN
13103,1,MWH,UN
13105,1,SUN,UN
13107,1,SUN,UN
13109,1,MWH,UN
13110,1,MWH,UN
13112,1,WND,UN
13113,1,MWH,UN
13115,1,SUN,UN
13116,LC,WND,UN
13118,1,WND,UN
13120,1,WND,UN
13121,1,SUN,UN
13123,TB,SUN,UN
13125,1,WND,UN
13126,5,NG,UN
13126,6,NG,UN
13126,7,NG,UN
13126,8,NG,UN
13127,1,MWH,UN
13128,1,MWH,UN
13129,1,WND,UN
13130,1,WND,UN
13132,1,WND,UN
13134,1,WND,UN
13136,1,WND,UN
13138,1,SUN,UN
13139,1,WND,UN
13141,1,SUN,UN
13143,1,WND,UN
13145,1,SUN,UN
13146,1,WND,UN
13148,1,MWH,UN
13150,1,WND,UN
13151,1,MWH,UN
13152,1,NG,UN
13153,1,NG,UN
13154,1,NG,UN
13156,1,WND,UN
13158,1,WND,UN
13160,1,WND,UN
13162,1,WND,UN
13164,1,WND,UN
13166,1,WND,UN
13168,1,WND,UN
13170,1,WND,UN
13172,1,WND,UN
13173,1,SUN,UN
13175,1,WND,UN
13177,1,NG,UN
13178,2,NG,UN
13180,1,WND,UN
13182,1,MWH,UN
13184,1,SUN,UN
13185,1,WND,UN
13187,1,SUN,UN
13188,1,SUN,UN
13190,1,SUN,UN
13192,1,WND,UN
13193,1,WND,UN
13195,1,WND,UN
13196,1,WND,UN
13197,1,WND,UN
13199,1,WND,UN
13201,1,WND,UN
13203,1,WND,UN
13205,1,WND,UN
13206,1,WND,UN
13208,1,WND,UN
13210,1,WND,UN
13212,1,SUN,UN
13213,1,SUN,UN
13215,1,SUN,UN
13217,1,SUN,UN
13219,1,MWH,UN
13221,1,MWH,UN
13223,1,MWH,UN
13225,1,MWH,UN
13227,1,MWH,UN
13229,1,MWH,UN
13231,1,MWH,UN
13233,1,MWH,UN
13235,1,MWH,UN
13236,1,MWH,UN
13238,1,SUN,UN
13240,1,WND,UN
13242,1,WND,UN
13244,1,WND,UN
13245,1,SUN,UN
13246,1,WND,UN
13248,PW,WND,UN
13249,1,WND,UN
13250,1,SUN,UN
13251,1,SUN,UN
13252,1,SUN,UN
13253,1,NG,UN
13253,2,NG,UN
13253,3,NG,UN
13253,4,NG,UN
13253,5,NG,UN
13253,6,NG,UN
13254,1,SUN,UN
13255,1,MWH,UN
13257,1,SUN,UN
13258,1,WND,UN
13260,1,SUN,UN
13261,1,SUN,UN
13262,1,WND,UN
13263,1,WND,UN
13264,1,SUN,UN
13265,1,MWH,UN
13267,1,MWH,UN
13269,1,SUN,UN
13270,1,NG,UN
13270,2,NG,UN
13270,3,NG,UN
13270,4,NG,UN
13272,1,SUN,UN
13273,1,MWH,UN
13275,1,SUN,UN
13276,1,NG,UN
13278,1,SUN,UN
13279,1,WND,UN
13281,1,SUN,UN
13283,1,WND,UN
13284,1,WND,UN
13286,1,SUN,UN
13287,1,NG,UN
13287,2,NG,UN
13287,3,NG,UN
13288,1,WND,UN
13290,1,WND,UN
13292,1,SUN,UN
13293,1,SUN,UN
13295,1,SUN,UN
13296,10,NG,UN
13296,6,NG,UN
13296,9,NG,UN
13298,1,MWH,UN
13299,1,WND,UN
13301,1,SUN,UN
13303,BA,MWH,UN
13305,BA,MWH,UN
13307,1,MWH,UN
13308,1,WND,UN
13309,1,SUN,UN
13311,1,SUN,UN
13312,1,NG,UN
13312,2,NG,UN
13312,3,NG,UN
13314,1,SUN,UN
13316,1,SUN,UN
13318,1,SUN,UN
13320,1,SUN,UN
13321,1,SUN,UN
13322,1,MWH,UN
13323,1,MWH,UN
13324,1,MWH,UN
13326,BC,MWH,UN
13327,NF,MWH,UN
13329,1,MWH,UN
13331,1,MWH,UN
13332,1,MWH,UN
13334,1,SUN,UN
13336,1,MWH,UN
13338,1,MWH,UN
13340,1,MWH,UN
13341,1,MWH,UN
13343,1,SUN,UN
13344,1,MWH,UN
13345,1,MWH,UN
13346,1,MWH,UN
13347,1,MWH,UN
13348,1,MWH,UN
13350,1,WND,UN
13351,1,WND,UN
13352,1,WND,UN
13353,1,WND,UN
13354,1,NG,UN
13355,1,NG,UN
13355,2,NG,UN
13356,1,NG,UN
13356,2,NG,UN
13357,1,NG,UN
13357,2,NG,UN
13358,1,NG,UN
13358,2,NG,UN
13360,1,WND,UN
13362,1,WND,UN
13363,1,SUN,UN
13365,01,WND,UN
13367,1,WND,UN
13368,1,SUN,UN
13370,1,SUN,UN
13372,01,WND,UN
13374,1,WND,UN
13376,1,NG,UN
13377,6A,NG,UN
13377,7,NG,UN
13377,8,NG,UN
13379,1,NG,UN
13381,BA,MWH,UN
13383,1,SUN,UN
13384,1,NG,UN
13386,1,MWH,UN
13388,1,SUN,UN
13389,BA,MWH,UN
13390,1,SUN,UN
13391,1,WAT,UN
13391,2,WAT,UN
13392,1,WND,UN
13393,1,WAT,UN
13393,2,WAT,UN
13394,1,SUN,UN
13395,1,WND,UN
13396,WT,WND,UN
13397,1,SUN,UN
13397,2,MWH,UN
13398,1,OBL,UN
13398,2,OBL,UN
13399,1,SUN,UN
13400,1,SUN,UN
13401,1,SUN,UN
13402,P1,MWH,UN
13403,1,MWH,UN
13404,1,MWH,UN
13405,1,WND,UN
13406,1,NG,UN
13407,1,OTH,UN
13407,2,OTH,UN
13408,1,OTH,UN
13409,1,WND,UN
13410,1,NG,UN
13411,1,SUN,UN
13412,1,MWH,UN
13413,1,SUN,UN
13414,1,SUN,UN
13415,1,MWH,UN
13416,1,SUN,UN
13417,1,NG,UN
13418,1,SUN,UN
13419,1,WND,UN
13420,1,WND,UN
13421,1,SUN,UN
13422,1,SUN,UN
13423,20,SUN,UN
13424,1,SUN,UN
13425,1,MWH,UN
13426,1,MWH,UN
13427,1,MWH,UN
13428,1,MWH,UN
