bus,lat,lon,carrier,capacity_mw,sub_id,sub_name,eia_plant_code,eia_county,match_quality,county,load_zone,pv_region,wind_region
1066,32.100823,-101.451385,wind,142.5,42,BIG SPRING 3,56920.0,Howard,matched_all,Howard,west,,West
1067,32.1217,-101.3853,wind,58.8,43,BIG SPRING 7,56959.0,Howard,matched_all,Howard,west,,West
1070,30.9178,-102.0867,wind,167.7,45,IRAAN 1,55992.0,Pecos,matched_all,Pecos,west,,West
1072,31.8403,-102.3264,gas,206.0,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1073,31.8403,-102.3264,gas,206.0,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1074,31.8403,-102.3264,gas,166.7,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1075,31.8403,-102.3264,gas,166.7,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1076,31.8403,-102.3264,gas,158.2,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1077,31.8403,-102.3264,gas,158.2,46,ODESSA 1,55215.0,Ector,matched_all,Ector,west,,
1090,31.995,-102.828333,battery,36.0,55,GOLDSMITH,56961.0,Ector,matched_all,Winkler,west,,
1090,31.995,-102.828333,battery,60.0,55,GOLDSMITH,56961.0,Ector,matched_fuel,Winkler,west,,
2001,33.63291,-95.39071,solar,10.0,57,PARIS 3,61810.0,Lamar,matched_all,Lamar,north,FarEast,
2013,35.238333,-101.310833,wind,211.2,63,PANHANDLE 2,58596.0,Carson,matched_all,Carson,west,,Panhandle
2019,35.4275,-101.253056,wind,218.0,67,PANHANDLE 4,58242.0,Carson,matched_all,Carson,west,,Panhandle
2023,33.6968,-95.5577,gas,87.0,69,PARIS 2,50109.0,Lamar,matched_all,Lamar,north,,
2024,33.6968,-95.5577,gas,76.0,69,PARIS 2,50109.0,Lamar,matched_all,Lamar,north,,
2042,35.386038,-101.578572,wind,79.6,86,PANHANDLE 3,58363.0,Carson,matched_all,Carson,west,,Panhandle
2062,34.292913,-99.367734,wind,135.4,101,VERNON 1,58372.0,Wilbarger,matched_all,Wilbarger,west,,West
2063,33.8181,-96.5692,hydro,50.0,102,DENISON 2,6416.0,Grayson,matched_all,Grayson,north,,
2063,33.8181,-96.5692,hydro,50.0,102,DENISON 2,6416.0,Grayson,matched_all,Grayson,north,,
2071,33.493056,-98.581944,wind,161.0,109,ARCHER 2,57974.0,Archer,matched_all,Archer,west,,West
2076,32.96736,-100.56428,wind,250.0,111,JAYTON,62142.0,Fisher,matched_all,Kent,west,,West
2078,33.733006,-97.428406,wind,112.5,112,MUENSTER 1,58080.0,Cooke,matched_all,Cooke,north,,North
2082,33.8625,-98.5894,gas,17.0,116,WICHITA FALLS 2,50127.0,Wichita,matched_all,Wichita,west,,
2083,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,Wichita,matched_all,Wichita,west,,
2084,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,Wichita,matched_all,Wichita,west,,
2085,33.8625,-98.5894,gas,19.7,116,WICHITA FALLS 2,50127.0,Wichita,matched_all,Wichita,west,,
2089,33.495278,-98.5,wind,67.6,119,ARCHER 1,59238.0,Archer,matched_all,Archer,west,,West
2091,33.57824,-99.1921,wind,30.2,121,SEYMOUR,62227.0,Baylor,matched_all,Baylor,west,,West
2099,33.713671,-101.433811,wind,150.0,124,RALLS 1,59417.0,Crosby,matched_fuel,Crosby,west,,Panhandle
2103,33.582573,-96.617893,gas,287.0,125,SHERMAN 1,58005.0,Grayson,matched_all,Grayson,north,,
2104,33.582573,-96.617893,gas,199.0,125,SHERMAN 1,58005.0,Grayson,matched_all,Grayson,north,,
2105,33.582573,-96.617893,gas,199.0,125,SHERMAN 1,58005.0,Grayson,matched_all,Grayson,north,,
2106,33.498186,-96.378894,solar,10.0,126,WHITEWRIGHT,61524.0,Fannin,matched_all,Fannin,north,FarEast,
2115,33.6308,-95.59,gas,204.0,133,PARIS 1,55097.0,Lamar,matched_all,Lamar,north,,
2116,33.6308,-95.59,gas,204.0,133,PARIS 1,55097.0,Lamar,matched_all,Lamar,north,,
2117,33.6308,-95.59,gas,153.0,133,PARIS 1,55097.0,Lamar,matched_all,Lamar,north,,
2118,33.6308,-95.59,gas,153.0,133,PARIS 1,55097.0,Lamar,matched_all,Lamar,north,,
2119,33.6308,-95.59,gas,145.0,133,PARIS 1,55097.0,Lamar,matched_fuel,Lamar,north,,
2120,33.6308,-95.59,gas,145.0,133,PARIS 1,55097.0,Lamar,matched_fuel,Lamar,north,,
3004,32.3606,-100.3389,wind,37.5,145,SWEETWATER 4,56211.0,Nolan,matched_all,Nolan,west,,West
3014,30.731599,-98.385422,hydro,13.8,155,KINGSLAND,3598.0,Burnet,matched_all,Llano,south,,
3017,32.255978,-100.320309,wind,418.9,157,BLACKWELL,62587.0,Nolan,matched_all,Nolan,west,,West
3020,31.048557,-100.623114,wind,199.5,158,CHRISTOVAL,61782.0,Schleicher,matched_all,Schleicher,west,,West
3028,32.6256,-99.4928,wind,200.0,164,ABILENE 2,56395.0,Shackelford,matched_all,Shackelford,west,,West
3034,32.631073,-101.008494,wind,311.0,169,SNYDER 1,60271.0,Scurry,matched_all,Scurry,west,,West
3039,32.4694,-100.6664,wind,209.0,172,ROSCOE 2,56593.0,Nolan,matched_all,Mitchell,west,,West
3055,32.214024,-100.05712,wind,299.0,179,WINGATE,56291.0,Taylor,matched_all,Taylor,west,,West
3056,32.214024,-100.05712,wind,223.5,179,WINGATE,56291.0,Taylor,matched_all,Taylor,west,,West
3057,32.214024,-100.05712,wind,213.0,179,WINGATE,56291.0,Taylor,matched_all,Taylor,west,,West
3060,31.951958,-101.018936,wind,214.5,180,STERLING CITY 1,56763.0,Sterling,matched_all,Sterling,west,,West
3061,31.951958,-101.018936,wind,186.0,180,STERLING CITY 1,56763.0,Sterling,matched_all,Sterling,west,,West
3062,31.951958,-101.018936,wind,149.5,180,STERLING CITY 1,56763.0,Sterling,matched_all,Sterling,west,,West
3063,31.951958,-101.018936,wind,112.5,180,STERLING CITY 1,56763.0,Sterling,matched_all,Sterling,west,,West
3065,32.199366,-100.491908,wind,182.4,181,ROSCOE 4,62836.0,Nolan,matched_all,Nolan,west,,West
3068,32.4301,-100.235652,wind,152.0,183,TRENT 1,55968.0,Nolan,matched_all,Nolan,west,,West
3071,32.2878,-100.1,wind,170.2,185,NOLAN,56638.0,Nolan,matched_all,Taylor,west,,West
3074,29.234722,-100.209167,wind,99.8,187,BRACKETTVILLE 2,58000.0,Kinney,matched_all,Kinney,south,,South
3081,32.5886,-100.6728,wind,249.0,191,HERMLEIGH,56981.0,Fisher,matched_all,Scurry,west,,West
3084,32.318221,-100.176986,wind,232.5,192,MERKEL 1,56484.0,Nolan,matched_all,Nolan,west,,West
3086,32.4375,-100.7444,wind,75.0,193,LORAINE 1,57303.0,Mitchell,matched_all,Mitchell,west,,West
3087,32.4375,-100.7444,wind,73.5,193,LORAINE 1,57303.0,Mitchell,matched_all,Mitchell,west,,West
3092,32.5144,-99.6564,wind,200.0,194,ABILENE 1,56483.0,Shackelford,matched_all,Taylor,west,,West
3095,32.311556,-100.061589,wind,120.6,196,MERKEL 2,56240.0,Taylor,matched_all,Taylor,west,,West
3098,32.94793,-101.147784,wind,182.4,197,FLUVANNA 2,56111.0,Scurry,matched_all,Scurry,west,,West
3104,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,Llano,matched_all,Llano,south,,
3105,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,Llano,matched_all,Llano,south,,
3106,30.7507,-98.4176,hydro,18.3,203,BUCHANAN DAM 1,3595.0,Llano,matched_all,Llano,south,,
3110,32.931944,-101.143611,wind,155.4,206,FLUVANNA 1,59245.0,Scurry,matched_all,Scurry,west,,West
3112,31.951944,-100.791389,wind,80.0,207,STERLING CITY 2,56754.0,Sterling,matched_all,Coke,west,,West
3113,31.951944,-100.791389,wind,69.6,207,STERLING CITY 2,56754.0,Sterling,matched_all,Coke,west,,West
3115,32.969722,-100.524167,wind,30.0,209,ROTAN,58048.0,Kent,matched_all,Kent,west,,West
3117,32.718056,-100.793333,wind,120.0,210,SYNDER,56775.0,Scurry,matched_all,Scurry,west,,West
3120,29.325033,-100.391847,battery,100.0,211,BRACKETTVILLE 1,58717.0,Kinney,matched_location,Kinney,south,,
3122,32.4969,-100.5797,wind,197.0,212,ROSCOE 1,56984.0,Nolan,matched_all,Nolan,west,,West
4007,26.189433,-98.322929,battery,10.0,239,MCALLEN 2,66927.0,Hidalgo,matched_all,Hidalgo,south,,
4010,27.022112,-97.498478,wind,201.6,241,SARITA 3,56795.0,Kenedy,matched_all,Kenedy,south,,Coastal
4026,28.7044,-98.4775,coal,391.0,254,CHRISTINE,6183.0,Atascosa,matched_all,Atascosa,south,,
4030,28.7128,-97.214167,coal,655.0,256,FANNIN,6178.0,Goliad,matched_all,Goliad,south,,
4035,27.811083,-97.595813,gas,33.0,261,CORPUS CHRISTI 18,50475.0,Nueces,matched_fuel,Nueces,south,,
4041,26.230677,-98.114039,battery,10.0,266,SAN JUAN,66929.0,Hidalgo,matched_all,Hidalgo,south,,
4045,26.5575,-99.1642,hydro,10.5,268,FALCON HEIGHTS 1,6410.0,Starr,matched_all,Starr,south,,
4046,26.5575,-99.1642,hydro,10.0,268,FALCON HEIGHTS 1,6410.0,Starr,matched_all,Starr,south,,
4047,26.5575,-99.1642,hydro,10.0,268,FALCON HEIGHTS 1,6410.0,Starr,matched_all,Starr,south,,
4050,26.364843,-97.545341,wind,272.6,270,SEBASTIAN 2,63739.0,Willacy,matched_all,Willacy,south,,Coastal
4052,27.5697,-97.8228,gas,32.5,271,BISHOP,10243.0,Nueces,matched_fuel,Nueces,south,,
4058,27.882778,-97.242778,gas,155.0,275,GREGORY,55313.0,San Patricio,matched_all,San Patricio,south,,
4059,27.882778,-97.242778,gas,155.0,275,GREGORY,55313.0,San Patricio,matched_all,San Patricio,south,,
4060,27.882778,-97.242778,gas,150.0,275,GREGORY,55313.0,San Patricio,matched_all,San Patricio,south,,
4065,27.81922,-97.535461,battery,150.0,276,CORPUS CHRISTI 2,66783.0,Nueces,matched_fuel,Nueces,south,,
4067,26.179999,-97.725607,battery,10.0,278,HARLINGEN 1,66933.0,Cameron,matched_all,Cameron,south,,
4068,26.296101,-98.0096,battery,10.0,279,ELSA,66931.0,Hidalgo,matched_all,Hidalgo,south,,
4069,27.8175,-97.4814,oil,26.6,280,CORPUS CHRISTI 17,50121.0,Nueces,matched_location,Nueces,south,,
4069,27.8175,-97.4814,oil,26.6,280,CORPUS CHRISTI 17,50121.0,Nueces,matched_location,Nueces,south,,
4069,27.8175,-97.4814,oil,12.0,280,CORPUS CHRISTI 17,50121.0,Nueces,matched_location,Nueces,south,,
4075,26.208,-98.3992,gas,181.0,283,MISSION 1,55098.0,Hidalgo,matched_all,Hidalgo,south,,
4076,26.208,-98.3992,gas,177.0,283,MISSION 1,55098.0,Hidalgo,matched_all,Hidalgo,south,,
4077,26.208,-98.3992,gas,177.0,283,MISSION 1,55098.0,Hidalgo,matched_all,Hidalgo,south,,
4082,27.6064,-97.3117,gas,319.0,286,CORPUS CHRISTI 3,4939.0,Nueces,matched_all,Nueces,south,,
4083,27.6064,-97.3117,gas,292.0,286,CORPUS CHRISTI 3,4939.0,Nueces,matched_fuel,Nueces,south,,
4084,27.6064,-97.3117,gas,157.0,286,CORPUS CHRISTI 3,4939.0,Nueces,matched_fuel,Nueces,south,,
4085,27.6064,-97.3117,gas,157.0,286,CORPUS CHRISTI 3,4939.0,Nueces,matched_fuel,Nueces,south,,
4090,26.269683,-97.867012,biomass,10.0,290,SANTA ROSA 1,54338.0,Hidalgo,matched_fuel,Hidalgo,south,,
4100,27.833756,-97.496523,other,11.7,292,CORPUS CHRISTI 13,50121.0,Nueces,matched_all,Nueces,south,,
4100,27.833756,-97.496523,other,11.7,292,CORPUS CHRISTI 13,50121.0,Nueces,matched_all,Nueces,south,,
4102,26.074676,-97.52318,battery,10.0,294,OLMITO,66932.0,Cameron,matched_all,Cameron,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4103,26.451111,-98.1775,gas,18.3,295,EDINBURG 1,59391.0,Hidalgo,matched_all,Hidalgo,south,,
4105,27.9386,-97.4586,wind,180.0,296,TAFT 2,56983.0,San Patricio,matched_all,San Patricio,south,,Coastal
4111,26.232466,-97.823173,battery,10.0,302,HARLINGEN 2,66928.0,Cameron,matched_all,Cameron,south,,
4115,27.5667,-99.5089,gas,90.1,304,LAREDO 1,3439.0,Webb,matched_fuel,Webb,south,,
4116,27.5667,-99.5089,gas,87.3,304,LAREDO 1,3439.0,Webb,matched_fuel,Webb,south,,
4121,26.100103,-97.798453,solar,45.0,309,SANTA MARIA,65662.0,Cameron,matched_all,Cameron,south,SouthEast,
4133,28.9377,-99.10765,solar,200.0,319,PEARSALL,65308.0,Frio,matched_all,Frio,south,SouthEast,
4153,27.0011,-97.5994,wind,283.2,329,ARMSTRONG 1,56661.0,Kenedy,matched_all,Kenedy,south,,Coastal
4160,27.819412,-97.419203,gas,319.0,334,CORPUS CHRISTI 1,3441.0,Nueces,matched_all,Nueces,south,,
4161,27.819412,-97.419203,gas,157.0,334,CORPUS CHRISTI 1,3441.0,Nueces,matched_fuel,Nueces,south,,
4162,27.819412,-97.419203,gas,157.0,334,CORPUS CHRISTI 1,3441.0,Nueces,matched_fuel,Nueces,south,,
4166,27.122529,-97.557372,wind,201.6,336,SARITA 2,57095.0,Kenedy,matched_all,Kenedy,south,,Coastal
4177,27.576111,-98.905278,wind,150.0,346,BRUNI 1,57260.0,Webb,matched_all,Webb,south,,South
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5012,33.214869,-97.209692,gas,18.8,371,DENTON 5,61643.0,Denton,matched_all,Denton,north,,
5020,33.052226,-98.328415,wind,120.0,376,JACKSBORO 1,57156.0,Jack,matched_all,Jack,north,,North
5029,31.291151,-97.260738,solar,10.0,383,TROY,61874.0,McLennan,matched_all,McLennan,north,CenterEast,
5049,33.1707,-96.1264,oil,23.0,392,GREENVILLE 1,4195.0,Hunt,matched_all,Hunt,north,,
5049,33.1707,-96.1264,oil,18.0,392,GREENVILLE 1,4195.0,Hunt,matched_fuel,Hunt,north,,
5051,33.1707,-96.1264,oil,41.0,392,GREENVILLE 1,4195.0,Hunt,matched_all,Hunt,north,,
5057,33.1344,-98.6117,gas,390.0,395,GRAHAM,3490.0,Young,matched_all,Young,west,,
5058,33.1344,-98.6117,gas,239.0,395,GRAHAM,3490.0,Young,matched_all,Young,west,,
5080,31.34904,-97.21786,solar,44.2,407,LORENA,61874.0,McLennan,matched_fuel,McLennan,north,CenterEast,
5081,31.114983,-97.845111,solar,15.4,408,FORT HOOD,60774.0,Bell,matched_all,Coryell,north,CenterEast,
5089,31.8594,-97.3586,gas,208.0,414,CLIFTON 1,55172.0,Bosque,matched_fuel,Bosque,north,,
5115,33.16114,-96.239739,solar,10.0,437,CADDO MILLS,61532.0,Hunt,matched_all,Hunt,north,FarEast,
5154,32.116002,-97.343521,battery,52.2,472,RIO VISTA,63180.0,Bosque,matched_location,Hill,north,,
5166,33.1975,-97.1061,gas,61.0,482,DENTON 1,4266.0,Denton,matched_all,Denton,north,,
5167,33.1975,-97.1061,gas,61.0,482,DENTON 1,4266.0,Denton,matched_all,Denton,north,,
5170,32.338659,-98.476051,wind,52.8,484,DUBLIN 1,56771.0,Erath,matched_all,Eastland,west,,North
5174,31.8932,-96.8751,solar,49.6,488,MALONE,67024.0,Hill,matched_all,Hill,north,CenterEast,
5198,33.205801,-98.365069,wind,150.0,508,BRYSON 1,57981.0,Jack,matched_all,Jack,north,,North
5206,33.101,-97.9574,gas,290.5,514,POOLVILLE,55230.0,Wise,matched_all,Jack,north,,
5207,33.101,-97.9574,gas,290.5,514,POOLVILLE,55230.0,Wise,matched_all,Jack,north,,
5208,33.101,-97.9574,gas,165.0,514,POOLVILLE,55230.0,Wise,matched_all,Jack,north,,
5219,32.533273,-96.428985,battery,50.0,525,SCURRY,63892.0,Kaufman,matched_all,Kaufman,north,,
5231,31.738177,-98.213739,battery,10.0,537,HAMILTON,66410.0,Hamilton,matched_location,Hamilton,north,,
5238,33.383611,-98.711944,wind,198.0,542,OLNEY 1,57520.0,Young,matched_all,Young,west,,West
5243,31.383333,-98.466667,wind,150.0,543,GOLDTHWAITE 1,58321.0,Mills,matched_all,Mills,north,,North
5262,32.298365,-97.785515,nuclear,1205.0,560,GLEN ROSE 1,6145.0,Somervell,matched_all,Somervell,north,,
5263,32.298365,-97.785515,nuclear,1195.0,560,GLEN ROSE 1,6145.0,Somervell,matched_all,Somervell,north,,
5281,31.055833,-97.317222,gas,326.0,576,TEMPLE 1,58001.0,Bell,matched_all,Bell,south,,
5282,31.055833,-97.317222,gas,326.0,576,TEMPLE 1,58001.0,Bell,matched_all,Bell,south,,
5283,31.055833,-97.317222,gas,232.0,576,TEMPLE 1,58001.0,Bell,matched_all,Bell,south,,
5284,32.986,-96.085998,solar,50.0,577,QUINLAN,67849.0,Hunt,matched_all,Hunt,north,FarEast,
5290,31.8694,-97.3667,hydro,21.0,583,WHITNEY,6414.0,Bosque,matched_all,Hill,north,,
5290,31.8694,-97.3667,hydro,21.0,583,WHITNEY,6414.0,Bosque,matched_all,Hill,north,,
5319,32.337679,-97.734612,gas,446.3,601,GRANBURY 1,59812.0,Hood,matched_all,Hood,north,,
5320,32.337679,-97.734612,gas,329.3,601,GRANBURY 1,59812.0,Hood,matched_all,Hood,north,,
5321,32.337679,-97.734612,gas,327.8,601,GRANBURY 1,59812.0,Hood,matched_all,Hood,north,,
5324,32.7231,-96.9358,gas,568.0,602,DALLAS 2,3453.0,Dallas,matched_all,Dallas,north,,
5325,32.7231,-96.9358,gas,122.0,602,DALLAS 2,3453.0,Dallas,matched_all,Dallas,north,,
5326,32.7231,-96.9358,gas,118.0,602,DALLAS 2,3453.0,Dallas,matched_all,Dallas,north,,
5360,31.474378,-96.957149,coal,932.6,631,RIESEL 1,56611.0,McLennan,matched_all,McLennan,north,,
5382,32.32,-96.675,gas,245.1,643,ENNIS,55223.0,Ellis,matched_all,Ellis,north,,
5383,32.32,-96.675,gas,114.4,643,ENNIS,55223.0,Ellis,matched_all,Ellis,north,,
5399,32.7683,-99.4228,wind,162.3,650,ALBANY 1,56823.0,Shackelford,matched_all,Shackelford,west,,West
5403,32.33422,-97.731686,gas,280.0,652,GRANBURY 2,55139.0,Hood,matched_all,Hood,north,,
5404,32.33422,-97.731686,gas,236.0,652,GRANBURY 2,55139.0,Hood,matched_all,Hood,north,,
5405,32.33422,-97.731686,gas,234.5,652,GRANBURY 2,55139.0,Hood,matched_all,Hood,north,,
5415,32.6581,-98.3103,gas,200.0,658,PALO PINTO 1,3628.0,Palo Pinto,matched_all,Palo Pinto,north,,
5416,32.6581,-98.3103,gas,104.0,658,PALO PINTO 1,3628.0,Palo Pinto,matched_all,Palo Pinto,north,,
5417,32.6581,-98.3103,gas,104.0,658,PALO PINTO 1,3628.0,Palo Pinto,matched_all,Palo Pinto,north,,
5418,32.6581,-98.3103,gas,100.0,658,PALO PINTO 1,3628.0,Palo Pinto,matched_all,Palo Pinto,north,,
5419,32.6581,-98.3103,gas,66.0,658,PALO PINTO 1,3628.0,Palo Pinto,matched_fuel,Palo Pinto,north,,
6001,29.47982,-98.29926,solar,39.6,716,CONVERSE,59204.0,Bexar,matched_fuel,Bexar,south,SouthEast,
6006,30.1456,-97.2708,gas,335.0,718,BASTROP,3601.0,Bastrop,matched_all,Bastrop,south,,
6007,30.1456,-97.2708,gas,136.0,718,BASTROP,3601.0,Bastrop,matched_all,Bastrop,south,,
6008,30.1456,-97.2708,gas,136.0,718,BASTROP,3601.0,Bastrop,matched_all,Bastrop,south,,
6027,30.41432,-97.35518,battery,50.0,733,ELGIN,65700.0,Williamson,matched_all,Williamson,south,,
6069,29.6244,-98.1419,gas,197.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6070,29.6244,-98.1419,gas,196.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6071,29.6244,-98.1419,gas,160.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6072,29.6244,-98.1419,gas,160.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6073,29.6244,-98.1419,gas,153.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6074,29.6244,-98.1419,gas,153.0,751,MARION 1,55153.0,Guadalupe,matched_all,Guadalupe,south,,
6078,29.9172,-96.7506,coal,590.0,752,LA GRANGE,6179.0,Fayette,matched_all,Fayette,south,,
6079,29.9172,-96.7506,coal,590.0,752,LA GRANGE,6179.0,Fayette,matched_all,Fayette,south,,
6080,29.9172,-96.7506,coal,435.0,752,LA GRANGE,6179.0,Fayette,matched_all,Fayette,south,,
6082,30.555288,-98.257593,hydro,19.8,753,MARBLE FALLS 1,3599.0,Burnet,matched_all,Burnet,south,,
6083,30.555288,-98.257593,hydro,19.8,753,MARBLE FALLS 1,3599.0,Burnet,matched_all,Burnet,south,,
6101,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,Fayette,matched_fuel,Fayette,south,,
6104,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,Fayette,matched_fuel,Fayette,south,,
6105,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,Fayette,matched_fuel,Fayette,south,,
6106,30.02547,-96.9945,gas,44.0,765,WINCHESTER,56674.0,Fayette,matched_fuel,Fayette,south,,
6116,30.41477,-97.35701,battery,50.0,771,TAYLOR,65699.0,Williamson,matched_all,Williamson,south,,
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,Travis,matched_all,Travis,south,,
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,Travis,matched_all,Travis,south,,
6137,30.3899,-97.9073,hydro,36.0,790,AUSTIN 35,3600.0,Travis,matched_all,Travis,south,,
6155,29.271667,-98.444722,solar,40.7,799,SAN ANTONIO 26,58537.0,Bexar,matched_all,Bexar,south,SouthEast,
6164,29.593056,-97.973215,gas,303.0,805,SEGUIN 1,55137.0,Guadalupe,matched_fuel,Guadalupe,south,,
6165,29.593056,-97.973215,gas,165.5,805,SEGUIN 1,55137.0,Guadalupe,matched_all,Guadalupe,south,,
6166,29.593056,-97.973215,gas,158.0,805,SEGUIN 1,55137.0,Guadalupe,matched_all,Guadalupe,south,,
6167,29.593056,-97.973215,gas,158.0,805,SEGUIN 1,55137.0,Guadalupe,matched_all,Guadalupe,south,,
6168,29.43445,-98.61765,battery,10.0,806,SAN ANTONIO 45,62609.0,Bexar,matched_all,Bexar,south,,
6175,30.2867,-97.7356,gas,46.5,810,AUSTIN 16,50118.0,Travis,matched_all,Travis,south,,
6175,30.2867,-97.7356,gas,33.0,810,AUSTIN 16,50118.0,Travis,matched_all,Travis,south,,
