name,bus,carrier,p_nom,marginal_cost
G63,3020,wind,199.5,0.0
G64,3028,wind,200.0,0.0
G65,3034,wind,311.0,0.0
G66,3039,wind,209.0,0.0
G67,3055,wind,299.0,0.0
G68,3056,wind,223.5,0.0
G69,3057,wind,213.0,0.0
G70,3060,wind,214.5,0.0
G71,3061,wind,186.0,0.0
G72,3062,wind,149.5,0.0
G73,3063,wind,112.5,0.0
G74,3065,wind,182.4,0.0
G75,3068,wind,152.0,0.0
G76,3071,wind,170.2,0.0
G77,3074,wind,99.8,0.0
G78,3081,wind,249.0,0.0
G79,3084,wind,232.5,0.0
G80,3086,wind,75.0,0.0
G81,3087,wind,73.5,0.0
G82,3092,wind,200.0,0.0
G83,3095,wind,120.6,0.0
G84,3098,wind,182.4,0.0
G85,3104,hydro,18.3,1.71
G86,3105,hydro,18.3,1.71
G87,3106,hydro,18.3,1.71
G88,3110,wind,155.4,0.0
G89,3112,wind,80.0,0.0
G90,3113,wind,69.6,0.0
G91,3115,wind,30.0,0.0
G92,3117,wind,120.0,0.0
G93,3120,battery,100.0,0.0
G94,3122,wind,197.0,0.0
G95,4007,battery,10.0,0.0
G96,4010,wind,201.6,0.0
G97,4026,coal,391.0,29.02
G98,4030,coal,655.0,29.02
G99,4035,gas,33.0,28.55
G100,4041,battery,10.0,0.0
G101,4045,hydro,10.5,1.71
G102,4046,hydro,10.0,1.71
G103,4047,hydro,10.0,1.71
G104,4050,wind,272.6,0.0
G105,4052,gas,32.5,28.55
G106,4058,gas,155.0,28.55
G107,4059,gas,155.0,28.55
G108,4060,gas,150.0,28.55
G109,4065,battery,150.0,0.0
G110,4067,battery,10.0,0.0
G111,4068,battery,10.0,0.0
G112,4069,oil,26.6,195.9
G113,4069,oil,26.6,195.9
G114,4069,oil,12.0,195.9
G115,4075,gas,181.0,28.55
G116,4076,gas,177.0,28.55
G117,4077,gas,177.0,28.55
G118,4082,gas,319.0,28.55
G119,4083,gas,292.0,28.55
G120,4084,gas,157.0,28.55
G121,4085,gas,157.0,28.55
G122,4090,biomass,10.0,46.43
G123,4100,other,11.7,55.0
G124,4100,other,11.7,55.0
G125,4102,battery,10.0,0.0
G126,4103,gas,18.3,28.55
G127,4103,gas,18.3,28.55
G128,4103,gas,18.3,28.55
G129,4103,gas,18.3,28.55
G130,4103,gas,18.3,28.55
G131,4103,gas,18.3,28.55
G132,4103,gas,18.3,28.55
G133,4103,gas,18.3,28.55
G134,4103,gas,18.3,28.55
G135,4103,gas,18.3,28.55
G136,4103,gas,18.3,28.55
G137,4103,gas,18.3,28.55
G138,4105,wind,180.0,0.0
G139,4111,battery,10.0,0.0
G140,4115,gas,90.1,28.55
G141,4116,gas,87.3,28.55
G142,4121,solar,45.0,0.0
G143,4133,solar,200.0,0.0
G144,4153,wind,283.2,0.0
G145,4160,gas,319.0,28.55
G146,4161,gas,157.0,28.55
G147,4162,gas,157.0,28.55
G148,4166,wind,201.6,0.0
G149,4177,wind,150.0,0.0
G150,5012,gas,18.8,28.55
G151,5012,gas,18.8,28.55
G152,5012,gas,18.8,28.55
G153,5012,gas,18.8,28.55
G154,5012,gas,18.8,28.55
G155,5012,gas,18.8,28.55
G156,5012,gas,18.8,28.55
G157,5012,gas,18.8,28.55
G158,5012,gas,18.8,28.55
G159,5012,gas,18.8,28.55
G160,5012,gas,18.8,28.55
G161,5012,gas,18.8,28.55
G162,5020,wind,120.0,0.0
G163,5029,solar,10.0,0.0
G164,5049,oil,23.0,195.9
G165,5049,oil,18.0,195.9
G166,5051,oil,41.0,195.9
G167,5057,gas,390.0,28.55
G168,5058,gas,239.0,28.55
G169,5080,solar,44.2,0.0
G170,5081,solar,15.4,0.0
G171,5089,gas,208.0,28.55
G172,5115,solar,10.0,0.0
G173,5154,battery,52.2,0.0
G174,5166,gas,61.0,28.55
G175,5167,gas,61.0,28.55
G176,5170,wind,52.8,0.0
G177,5174,solar,49.6,0.0
G178,5198,wind,150.0,0.0
G179,5206,gas,290.5,28.55
G180,5207,gas,290.5,28.55
G181,5208,gas,165.0,28.55
G182,5219,battery,50.0,0.0
G183,5231,battery,10.0,0.0
G184,5238,wind,198.0,0.0
G185,5243,wind,150.0,0.0
G186,5262,nuclear,1205.0,10.45
G187,5263,nuclear,1195.0,10.45
G188,5281,gas,326.0,28.55
G189,5282,gas,326.0,28.55
G190,5283,gas,232.0,28.55
G191,5284,solar,50.0,0.0
G192,5290,hydro,21.0,1.71
G193,5290,hydro,21.0,1.71
G194,5319,gas,446.3,28.55
G195,5320,gas,329.3,28.55
G196,5321,gas,327.8,28.55
G197,5324,gas,568.0,28.55
G198,5325,gas,122.0,28.55
G199,5326,gas,118.0,28.55
G200,5360,coal,932.6,29.02
G201,5382,gas,245.1,28.55
G202,5383,gas,114.4,28.55
G203,5399,wind,162.3,0.0
G204,5403,gas,280.0,28.55
G205,5404,gas,236.0,28.55
G206,5405,gas,234.5,28.55
G207,5415,gas,200.0,28.55
G208,5416,gas,104.0,28.55
G209,5417,gas,104.0,28.55
G210,5418,gas,100.0,28.55
G211,5419,gas,66.0,28.55
G212,6001,solar,39.6,0.0
G213,6006,gas,335.0,28.55
G214,6007,gas,136.0,28.55
G215,6008,gas,136.0,28.55
G216,6027,battery,50.0,0.0
G217,6069,gas,197.0,28.55
G218,6070,gas,196.0,28.55
G219,6071,gas,160.0,28.55
G220,6072,gas,160.0,28.55
G221,6073,gas,153.0,28.55
G222,6074,gas,153.0,28.55
G223,6078,coal,590.0,29.02
G224,6079,coal,590.0,29.02
G225,6080,coal,435.0,29.02
G226,6082,hydro,19.8,1.71
G227,6083,hydro,19.8,1.71
G228,6101,gas,44.0,28.55
G229,6104,gas,44.0,28.55
G230,6105,gas,44.0,28.55
G231,6106,gas,44.0,28.55
G232,6116,battery,50.0,0.0
G233,6137,hydro,36.0,1.71
G234,6137,hydro,36.0,1.71
G235,6137,hydro,36.0,1.71
G236,6155,solar,40.7,0.0
G237,6164,gas,303.0,28.55
G238,6165,gas,165.5,28.55
G239,6166,gas,158.0,28.55
G240,6167,gas,158.0,28.55
G241,6168,battery,10.0,0.0
G242,6175,gas,46.5,28.55
G243,6175,gas,33.0,28.55
G244,6175,gas,27.6,28.55
G245,6175,gas,26.1,28.55
G246,6182,gas,46.0,28.55
G247,6182,gas,46.0,28.55
G248,6182,gas,46.0,28.55
G249,6182,gas,46.0,28.55
G250,6213,hydro,27.0,1.71
G251,6214,hydro,27.0,1.71
G252,6233,gas,52.0,28.55
G253,6233,gas,52.0,28.55
G254,6233,gas,52.0,28.55
G255,6233,gas,52.0,28.55
G256,6242,gas,420.0,28.55
G257,6243,gas,410.0,28.55
G258,6254,gas,47.3,28.55
G259,6254,gas,47.3,28.55
G260,6254,gas,47.3,28.55
G261,6254,gas,47.3,28.55
G262,6257,gas,161.0,28.55
G263,6258,gas,151.0,28.55
G264,6259,gas,47.3,28.55
G265,6260,gas,47.3,28.55
G266,6277,gas,18.4,28.55
G267,6277,gas,18.4,28.55
G268,6277,gas,18.4,28.55
G269,6277,gas,18.4,28.55
G270,6277,gas,18.4,28.55
G271,6277,gas,18.4,28.55
G272,6277,gas,18.4,28.55
G273,6277,gas,18.4,28.55
G274,6277,gas,18.4,28.55
G275,6277,gas,18.4,28.55
G276,6295,gas,233.0,28.55
G277,6296,gas,171.0,28.55
G278,6297,gas,171.0,28.55
G279,6301,gas,231.0,28.55
G280,6302,gas,229.0,28.55
G281,6303,gas,228.0,28.55
G282,6304,gas,228.0,28.55
G283,6329,solar,10.0,0.0
G284,7005,gas,171.0,28.55
G285,7006,gas,171.0,28.55
G286,7007,gas,167.0,28.55
G287,7008,gas,166.0,28.55
G288,7009,gas,71.0,28.55
G289,7021,gas,49.0,28.55
G290,7022,gas,49.0,28.55
G291,7023,gas,48.0,28.55
G292,7024,gas,37.0,28.55
G293,7029,gas,15.0,28.55
G294,7029,gas,15.0,28.55
G295,7029,gas,12.0,28.55
G296,7031,gas,30.0,28.55
G297,7032,gas,30.0,28.55
G298,7033,gas,30.0,28.55
G299,7034,gas,15.0,28.55
G300,7045,gas,176.0,28.55
G301,7046,gas,112.0,28.55
G302,7054,gas,43.0,28.55
G303,7054,gas,43.0,28.55
G304,7058,gas,58.0,28.55
G305,7058,gas,47.3,28.55
G306,7058,gas,38.0,28.55
G307,7058,gas,32.0,28.55
G308,7058,gas,28.5,28.55
G309,7061,gas,97.0,28.55
G310,7062,gas,97.0,28.55
G311,7063,gas,72.0,28.55
G312,7064,gas,72.0,28.55
G313,7065,gas,72.0,28.55
G314,7066,gas,72.0,28.55
G315,7075,other,45.0,55.0
G316,7075,other,45.0,55.0
G317,7079,gas,749.0,28.55
G318,7080,gas,745.0,28.55
G319,7086,other,14.0,55.0
G320,7098,nuclear,1300.0,10.45
G321,7099,nuclear,1280.0,10.45
G322,7107,gas,282.0,28.55
G323,7108,gas,182.0,28.55
G324,7109,gas,182.0,28.55
G325,7110,gas,182.0,28.55
G326,7111,gas,182.0,28.55
G327,7112,gas,182.0,28.55
G328,7116,solar,10.0,0.0
G329,7133,gas,140.0,28.55
G330,7134,gas,78.0,28.55
G331,7135,gas,29.0,28.55
G332,7136,gas,29.0,28.55
G333,7137,gas,29.0,28.55
G334,7144,gas,35.0,28.55
G335,7159,gas,54.0,28.55
G336,7159,gas,54.0,28.55
G337,7159,gas,54.0,28.55
G338,7159,gas,54.0,28.55
G339,7159,gas,54.0,28.55
G340,7159,gas,54.0,28.55
G341,7159,gas,54.0,28.55
G342,7159,gas,14.0,28.55
G343,7162,gas,110.0,28.55
G344,7163,gas,110.0,28.55
G345,7164,gas,56.0,28.55
G346,7165,gas,56.0,28.55
G347,7166,gas,56.0,28.55
G348,7167,gas,56.0,28.55
G349,7168,gas,56.0,28.55
G350,7169,gas,56.0,28.55
G351,7170,gas,54.0,28.55
G352,7184,gas,44.5,28.55
G353,7184,gas,44.5,28.55
G354,7184,gas,44.5,28.55
G355,7184,gas,44.5,28.55
G356,7184,gas,44.5,28.55
G357,7184,gas,44.5,28.55
G358,7184,gas,44.5,28.55
G359,7184,gas,44.5,28.55
G360,7224,gas,50.0,28.55
G361,7224,gas,47.0,28.55
G362,7230,solar,10.0,0.0
G363,7266,gas,75.0,28.55
G364,7267,gas,75.0,28.55
G365,7268,gas,75.0,28.55
G366,7269,gas,75.0,28.55
G367,7280,gas,258.0,28.55
G368,7281,gas,198.0,28.55
G369,7284,gas,178.0,28.55
G370,7285,gas,163.0,28.55
G371,7286,gas,163.0,28.55
G372,7307,gas,478.4,28.55
G373,7308,gas,335.0,28.55
G374,7309,gas,329.3,28.55
G375,7312,other,11.7,55.0
G376,7323,gas,160.0,28.55
G377,7324,gas,73.0,28.55
G378,7325,gas,73.0,28.55
G379,7326,gas,73.0,28.55
G380,7329,gas,69.0,28.55
G381,7334,gas,241.0,28.55
G382,7335,gas,173.0,28.55
G383,7349,coal,664.0,29.02
G384,7350,coal,663.0,29.02
G385,7351,coal,610.0,29.02
G386,7352,coal,577.0,29.02
G387,7353,gas,552.0,28.55
G388,7354,gas,240.0,28.55
G389,7355,gas,169.0,28.55
G390,7356,gas,169.0,28.55
G391,7357,gas,13.0,28.55
G392,7369,gas,163.0,28.55
G393,7370,gas,163.0,28.55
G394,7371,gas,160.0,28.55
G395,7372,gas,159.0,28.55
G396,7373,gas,126.0,28.55
G397,7392,gas,12.3,28.55
G398,7400,gas,57.0,28.55
G399,7400,gas,53.0,28.55
G400,7400,gas,53.0,28.55
G401,7400,gas,47.0,28.55
G402,7400,gas,56.0,28.55
G403,7403,gas,36.0,28.55
G404,7403,gas,36.0,28.55
G405,7403,gas,36.0,28.55
G406,7403,gas,36.0,28.55
G407,7414,gas,43.0,28.55
G408,7414,gas,43.0,28.55
G409,7422,battery,50.0,0.0
G410,7428,gas,35.0,28.55
G411,8020,solar,59.0,0.0
G412,8033,battery,100.0,0.0
G413,8046,gas,182.0,28.55
G414,8047,gas,182.0,28.55
G415,8048,gas,167.0,28.55
G416,8049,gas,167.0,28.55
G417,8050,gas,167.0,28.55
G418,8051,gas,167.0,28.55
G419,8070,coal,836.0,29.02
G420,8071,coal,824.0,29.02
G421,8077,gas,405.0,28.55
G422,8078,gas,148.0,28.55
G423,8079,gas,146.0,28.55
G424,8080,gas,146.0,28.55
G425,8087,coal,855.0,29.02
G426,8088,coal,855.0,29.02
G427,8099,biomass,100.0,46.43
G428,8115,gas,502.0,28.55
G429,8116,gas,167.0,28.55
G430,8139,gas,32.4,28.55
G431,8139,gas,11.0,28.55
G432,8141,battery,50.0,0.0
G433,8152,gas,21.0,28.55
G434,8158,gas,47.1,28.55
G435,8158,gas,47.1,28.55
G436,12502,coal,805.0,29.02
G437,12503,coal,805.0,29.02
G438,12504,coal,800.0,29.02
G439,12506,gas,406.0,28.55
G440,12507,gas,406.0,28.55
G441,12508,gas,165.0,28.55
G442,12509,gas,165.0,28.55
G443,12510,gas,157.0,28.55
G444,12511,gas,157.0,28.55
G445,12512,gas,157.0,28.55
G446,12513,gas,157.0,28.55
G447,12514,gas,270.0,28.55
G448,12515,gas,270.0,28.55
G449,12516,gas,270.0,28.55
G450,12517,gas,270.0,28.55
G451,12518,gas,270.0,28.55
G452,12519,gas,255.0,28.55
G453,12520,gas,232.0,28.55
G454,12521,gas,232.0,28.55
G455,12522,gas,232.0,28.55
G456,12524,coal,785.0,29.02
G457,12525,coal,560.0,29.02
G458,12526,gas,153.0,28.55
G459,12527,gas,153.0,28.55
G460,12529,gas,435.0,28.55
G461,12530,gas,435.0,28.55
G462,12531,gas,375.0,28.55
G463,12532,gas,165.0,28.55
G464,12533,gas,165.0,28.55
G465,12534,gas,165.0,28.55
G466,12537,gas,523.0,28.55
G467,12538,gas,392.0,28.55
G468,12540,gas,198.0,28.55
G469,12541,gas,198.0,28.55
G470,12542,gas,72.0,28.55
G471,12543,gas,72.0,28.55
G472,12545,solar,510.0,0.0
G473,12546,battery,305.0,0.0
G474,12548,gas,158.0,28.55
G475,12549,gas,158.0,28.55
G476,12550,gas,157.0,28.55
G477,12551,gas,82.0,28.55
G478,12552,gas,173.0,28.55
G479,12553,gas,173.0,28.55
G480,12557,gas,245.0,28.55
G481,12558,gas,245.0,28.55
G482,12559,gas,245.0,28.55
G483,12561,gas,237.0,28.55
G484,12562,gas,215.0,28.55
G485,12563,gas,215.0,28.55
G486,12568,gas,158.0,28.55
G487,12569,gas,158.0,28.55
G488,12570,gas,158.0,28.55
G489,12571,gas,75.0,28.55
G490,12572,gas,75.0,28.55
G491,12574,gas,31.0,28.55
G492,12574,gas,31.0,28.55
G493,12575,gas,103.0,28.55
G494,12576,gas,103.0,28.55
G495,12577,gas,85.0,28.55
G496,12578,gas,85.0,28.55
G497,12579,gas,85.0,28.55
G498,12580,gas,85.0,28.55
G499,12583,solar,600.0,0.0
G500,12586,solar,600.0,0.0
G501,12588,solar,320.0,0.0
G502,12589,battery,259.0,0.0
G503,12591,battery,51.8,0.0
G504,12592,solar,500.0,0.0
G505,12594,wind,50.0,0.0
G506,12594,wind,51.1,0.0
G507,12595,wind,449.5,0.0
G508,12597,gas,204.0,28.55
G509,12598,gas,167.0,28.55
G510,12599,gas,167.0,28.55
G511,12602,battery,260.0,0.0
G512,12603,gas,69.0,28.55
G513,12604,gas,69.0,28.55
G514,12605,gas,68.0,28.55
G515,12606,gas,68.0,28.55
G516,12609,wind,525.0,0.0
G517,12610,gas,190.0,28.55
G518,12611,gas,164.0,28.55
G519,12612,gas,164.0,28.55
G520,12614,gas,180.0,28.55
G521,12615,gas,168.0,28.55
G522,12616,gas,168.0,28.55
G523,12619,solar,515.0,0.0
G524,12622,gas,172.0,28.55
G525,12623,gas,169.0,28.55
G526,12624,gas,169.0,28.55
G527,12626,gas,173.0,28.55
G528,12627,gas,173.0,28.55
G529,12628,gas,160.0,28.55
G530,12631,wind,500.6,0.0
G531,12634,solar,500.0,0.0
G532,12635,solar,500.0,0.0
G533,12638,wind,500.0,0.0
G534,12641,battery,500.0,0.0
G535,12643,gas,177.0,28.55
G536,12644,gas,159.0,28.55
G537,12645,gas,157.0,28.55
G538,12647,wind,491.6,0.0
G539,12649,gas,85.5,28.55
G540,12650,gas,68.2,28.55
G541,12651,gas,66.6,28.55
G542,12652,gas,66.2,28.55
G543,12653,gas,65.9,28.55
G544,12654,gas,65.1,28.55
G545,12655,gas,64.4,28.55
G546,12657,solar,320.0,0.0
G547,12658,battery,160.0,0.0
G548,12661,solar,320.0,0.0
G549,12662,battery,160.0,0.0
G550,12665,solar,320.0,0.0
G551,12666,battery,160.0,0.0
G552,12668,gas,98.1,28.55
G553,12669,gas,98.1,28.55
G554,12670,gas,70.0,28.55
G555,12671,gas,70.0,28.55
G556,12672,gas,68.0,28.55
G557,12673,gas,68.0,28.55
G558,12675,solar,471.0,0.0
G559,12677,wind,350.2,0.0
G560,12678,battery,120.0,0.0
G561,12680,battery,40.0,0.0
G562,12681,solar,420.0,0.0
G563,12682,gas,95.6,28.55
G564,12683,gas,95.6,28.55
G565,12684,gas,95.2,28.55
G566,12685,gas,68.3,28.55
G567,12686,gas,68.3,28.55
G568,12687,solar,200.0,0.0
G569,12688,solar,200.0,0.0
G570,12689,gas,44.5,28.55
G571,12689,gas,44.5,28.55
G572,12689,gas,44.5,28.55
G573,12689,gas,44.5,28.55
G574,12689,gas,44.5,28.55
G575,12689,gas,44.5,28.55
G576,12689,gas,44.5,28.55
G577,12689,gas,44.5,28.55
G578,12689,gas,44.5,28.55
G579,12689,gas,44.5,28.55
G580,12692,gas,109.0,28.55
G581,12693,gas,109.0,28.55
G582,12694,gas,109.0,28.55
G583,12695,gas,109.0,28.55
G584,12697,solar,430.0,0.0
G585,12700,gas,142.0,28.55
G586,12701,gas,92.0,28.55
G587,12702,gas,92.0,28.55
G588,12703,gas,92.0,28.55
G589,12705,gas,204.0,28.55
G590,12706,gas,204.0,28.55
G591,12708,solar,405.0,0.0
G592,12710,solar,275.0,0.0
G593,12711,battery,125.0,0.0
G594,12713,solar,400.0,0.0
G595,12716,solar,300.0,0.0
G596,12717,battery,100.0,0.0
G597,12720,battery,400.0,0.0
G598,12722,oil,67.0,195.9
G599,12723,oil,67.0,195.9
G600,12724,oil,67.0,195.9
G601,12725,oil,66.0,195.9
G602,12726,oil,65.0,195.9
G603,12727,oil,65.0,195.9
G604,12729,gas,138.0,28.55
G605,12730,gas,107.0,28.55
G606,12731,gas,75.0,28.55
G607,12732,gas,75.0,28.55
G608,12733,wind,211.0,0.0
G609,12734,wind,165.0,0.0
G610,12737,wind,366.6,0.0
G611,12739,gas,141.0,28.55
G612,12740,gas,140.0,28.55
G613,12741,gas,85.0,28.55
G614,12742,gas,44.5,28.55
G615,12742,gas,44.5,28.55
G616,12742,gas,44.5,28.55
G617,12742,gas,44.5,28.55
G618,12742,gas,44.5,28.55
G619,12742,gas,44.5,28.55
G620,12742,gas,44.5,28.55
G621,12742,gas,44.5,28.55
G622,12743,gas,44.5,28.55
G623,12743,gas,44.5,28.55
G624,12743,gas,44.5,28.55
G625,12743,gas,44.5,28.55
G626,12743,gas,44.5,28.55
G627,12743,gas,44.5,28.55
G628,12743,gas,44.5,28.55
G629,12743,gas,44.5,28.55
G630,12745,wind,350.3,0.0
G631,12748,solar,350.0,0.0
G632,12750,solar,350.0,0.0
G633,12753,wind,338.4,0.0
G634,12756,wind,336.0,0.0
G635,12758,solar,255.9,0.0
G636,12759,battery,72.2,0.0
G637,12760,gas,61.0,28.55
G638,12761,gas,54.0,28.55
G639,12761,gas,54.0,28.55
G640,12761,gas,54.0,28.55
G641,12761,gas,54.0,28.55
G642,12761,gas,54.0,28.55
G643,12761,gas,54.0,28.55
G644,12764,solar,240.8,0.0
G645,12765,battery,73.1,0.0
G646,12766,solar,313.0,0.0
G647,12769,solar,310.0,0.0
G648,12771,solar,310.0,0.0
G649,12773,wind,307.1,0.0
G650,12775,solar,306.0,0.0
G651,12776,coal,153.0,29.02
G652,12777,coal,152.0,29.02
G653,12779,solar,202.8,0.0
G654,12780,battery,101.6,0.0
G655,12782,battery,304.0,0.0
G656,12785,solar,225.0,0.0
G657,12786,battery,77.6,0.0
G658,12789,solar,159.0,0.0
G659,12790,solar,143.5,0.0
G660,12792,wind,302.4,0.0
G661,12794,wind,302.4,0.0
G662,12797,wind,301.3,0.0
G663,12799,wind,301.0,0.0
G664,12800,wind,301.0,0.0
G665,12802,wind,150.0,0.0
G666,12805,gas,150.0,28.55
G667,12806,gas,150.0,28.55
G668,12809,wind,300.0,0.0
G669,12812,wind,300.0,0.0
G670,12815,wind,300.0,0.0
G671,12818,wind,300.0,0.0
G672,12821,wind,300.0,0.0
G673,12824,solar,300.0,0.0
G674,12827,wind,300.0,0.0
G675,12828,solar,300.0,0.0
G676,12830,wind,300.0,0.0
G677,12833,solar,300.0,0.0
G678,12836,battery,300.0,0.0
G679,12839,wind,299.7,0.0
G680,12841,wind,299.2,0.0
G681,12844,wind,293.3,0.0
G682,12845,wind,288.6,0.0
G683,12848,wind,288.0,0.0
G684,12849,gas,143.1,28.55
G685,12850,gas,143.1,28.55
G686,12853,solar,200.0,0.0
G687,12854,battery,80.0,0.0
G688,12856,wind,278.0,0.0
G689,12859,wind,268.2,0.0
G690,12861,gas,44.6,28.55
G691,12861,gas,44.6,28.55
G692,12861,gas,44.6,28.55
G693,12861,gas,44.6,28.55
G694,12861,gas,44.6,28.55
G695,12861,gas,44.6,28.55
G696,12862,gas,44.6,28.55
G697,12862,gas,44.6,28.55
G698,12862,gas,44.6,28.55
G699,12862,gas,44.6,28.55
G700,12862,gas,44.6,28.55
G701,12862,gas,44.6,28.55
G702,12864,gas,163.0,28.55
G703,12865,gas,104.0,28.55
G704,12868,wind,265.5,0.0
G705,12870,gas,69.0,28.55
G706,12871,gas,66.0,28.55
G707,12872,gas,66.0,28.55
G708,12873,gas,62.0,28.55
G709,12874,battery,51.6,0.0
G710,12875,solar,210.0,0.0
G711,12878,solar,260.0,0.0
G712,12881,battery,260.0,0.0
G713,12884,wind,257.0,0.0
G714,12887,wind,256.0,0.0
G715,12890,solar,255.2,0.0
G716,12892,solar,255.0,0.0
G717,12895,solar,255.0,0.0
G718,12896,battery,255.0,0.0
G719,12899,wind,253.0,0.0
G720,12902,solar,252.0,0.0
G721,12904,solar,151.0,0.0
G722,12905,battery,100.0,0.0
G723,12907,wind,250.0,0.0
G724,12908,wind,250.0,0.0
G725,12909,solar,250.0,0.0
G726,12911,solar,250.0,0.0
G727,12913,solar,250.0,0.0
G728,12915,solar,250.0,0.0
G729,12917,solar,250.0,0.0
G730,12919,solar,250.0,0.0
G731,12920,solar,250.0,0.0
G732,12921,solar,250.0,0.0
G733,12923,battery,250.0,0.0
G734,12924,solar,250.0,0.0
G735,12925,solar,250.0,0.0
G736,12927,solar,150.0,0.0
G737,12928,battery,100.0,0.0
G738,12929,solar,250.0,0.0
G739,12930,wind,249.7,0.0
G740,12931,wind,249.0,0.0
G741,12932,solar,245.0,0.0
G742,12933,gas,78.0,28.55
G743,12934,gas,75.0,28.55
G744,12936,wind,243.0,0.0
G745,12938,wind,242.8,0.0
G746,12940,wind,242.5,0.0
G747,12941,wind,241.0,0.0
G748,12943,solar,180.0,0.0
G749,12944,battery,61.0,0.0
G750,12946,solar,240.0,0.0
G751,12947,solar,240.0,0.0
G752,12949,solar,240.0,0.0
G753,12950,solar,240.0,0.0
G754,12952,solar,240.0,0.0
G755,12954,solar,240.0,0.0
G756,12955,battery,240.0,0.0
G757,12956,wind,239.8,0.0
G758,12957,wind,239.6,0.0
G759,12958,gas,76.0,28.55
G760,12959,wind,238.5,0.0
G761,12960,wind,237.6,0.0
G762,12961,gas,235.0,28.55
G763,12963,wind,230.4,0.0
G764,12964,wind,230.0,0.0
G765,12966,wind,230.0,0.0
G766,12967,solar,230.0,0.0
G767,12968,solar,152.7,0.0
G768,12969,battery,76.8,0.0
G769,12971,wind,228.0,0.0
G770,12973,solar,227.5,0.0
G771,12975,battery,226.8,0.0
G772,12977,wind,226.1,0.0
G773,12979,wind,225.6,0.0
G774,12981,solar,225.0,0.0
G775,12983,solar,225.0,0.0
G776,12985,wind,223.9,0.0
G777,12986,battery,50.4,0.0
G778,12987,solar,171.7,0.0
G779,12988,solar,150.5,0.0
G780,12989,battery,70.5,0.0
G781,12990,wind,220.0,0.0
G782,12992,solar,145.0,0.0
G783,12993,battery,75.0,0.0
G784,12994,gas,50.0,28.55
G785,12995,gas,169.4,28.55
G786,12997,solar,215.0,0.0
G787,12998,gas,70.0,28.55
G788,13000,solar,150.0,0.0
G789,13001,battery,61.5,0.0
G790,13003,wind,211.2,0.0
G791,13005,wind,210.1,0.0
G792,13007,solar,210.0,0.0
G793,13009,solar,210.0,0.0
G794,13011,wind,209.4,0.0
G795,13013,wind,209.0,0.0
G796,13014,wind,207.2,0.0
G797,13015,battery,206.0,0.0
G798,13016,gas,110.0,28.55
G799,13017,wind,204.0,0.0
G800,13019,solar,204.0,0.0
G801,13020,solar,204.0,0.0
G802,13021,solar,204.0,0.0
G803,13023,solar,203.8,0.0
G804,13024,solar,203.5,0.0
G805,13026,wind,203.0,0.0
G806,13028,battery,203.0,0.0
G807,13030,wind,202.5,0.0
G808,13032,wind,202.5,0.0
G809,13033,wind,201.6,0.0
G810,13035,wind,201.6,0.0
G811,13037,wind,201.0,0.0
G812,13039,solar,201.0,0.0
G813,13040,battery,200.9,0.0
G814,13042,wind,102.0,0.0
G815,13043,wind,98.6,0.0
G816,13044,battery,40.4,0.0
G817,13045,solar,160.0,0.0
G818,13047,wind,200.2,0.0
