DeliveryDate,HourEnding,ConstraintID,ConstraintName,ContingencyName,ConstraintLimit,ConstraintValue,ViolationAmount,ShadowPrice,FromStation,ToStation,FromStationkV,ToStationkV,DeliveryTime,DSTFlag
07/23/2025,01:00,24, SILASRAY_T2, XSIL89,67,67,0,0.007, SILASRAY, SILASRAY,69,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,25, BELD_BRONCO1_1, XFTS89,60,60,0,0.115, BRONCO, BELD,69,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,26, GREENL_WEAVER1_1, XNCA89,39,39,0,1.085, WEAVERRD, GREENLK,69,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,27, 941__C, SENWSHK8,240,240,0,0.128, ENWSW, ENSSO,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,28, ASHERT_CATARI1_1, DWORNLA8,122,122,0,2.3, ASHERTON, CATARINA,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,29, COLETO_VICTOR2_1, SVICCO28,320,320,0,0.058, COLETO, VICTORIA,138,138.10001, 07/23/2025 00:00:00,N
07/23/2025,01:00,30, SANA_FMR1, SCOLBAL8,50,50,0,3.758, SANA, SANA,138,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,31, 6217__A, SBUZLME8,213,213,0,15.448, WLVSW, GAILS,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,32, LAUREL_LA_PAL1_1, SMA2P_I8,211,211,0,0.062, LAURELES, LA_PALMA,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,33, LAUREL_MARCON1_1, SMA2P_I8,211,211,0,0.721, MARCONI, LAURELES,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,34, FTST_SOLSTI1_1, DBAKSOL5,219,219,0,0.324, FTST, SOLSTICE,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,35, 482T484_1, DBAKSOL5,448,448,0,2.407, OXTASW, RIOPECOS,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,36, 6217__A, SBUZHMP8,213,213,0,15.448, WLVSW, GAILS,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,37, GATEWT_WORMSE1_1, MFOAVLO5,268,268,0,30.357, WORMSER, GATEWTP,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,38, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,85.242, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,1, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,2.398, YELWJCKT, MENPHTAP,69,69, 07/23/2025 00:00:00,N
07/23/2025,01:00,2, DIESEL_FMR1,  BASE CASE,25,25,0,0.006, DIESEL, DIESEL,69,13, 07/23/2025 00:00:00,N
07/23/2025,01:00,3, NE_LOB,  BASE CASE,1823,1823,0,2.365, , ,0,0, 07/23/2025 00:00:00,N
07/23/2025,01:00,4, NELRIO,  BASE CASE,848,848,0,5.386, , ,0,0, 07/23/2025 00:00:00,N
07/23/2025,01:00,5, PNHNDL,  BASE CASE,3996,3996,0,0.497, , ,0,0, 07/23/2025 00:00:00,N
07/23/2025,01:00,6, ZAPSTR,  BASE CASE,225,225,0,6.374, , ,0,0, 07/23/2025 00:00:00,N
07/23/2025,01:00,7, 6437__F, DMTSCOS5,211,211,0,29.077, SCRCV, KNAPP,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,8, 6240__C, DMTSCOS5,199,199,0,24.975, SACRC, DPCRK,138,138, 07/23/2025 00:00:00,N
07/23/2025,01:00,11, 6345__L, DWLFMET5,213,213,0,54.812, SNDHT, WLFSW,138,138, 07/23/2025 00:00:00,N
07/23/2025,02:00,74, MAGRUD_VICTOR2_1, DVICDUP8,211,211,0,0.181, VICTORIA, MAGRUDER,138.10001,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,73, MAGRUD_VICTOR2_1, XVIC89,211,211,0,0.692, VICTORIA, MAGRUDER,138.10001,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,40, DIESEL_FMR1,  BASE CASE,25,25,0,0.006, DIESEL, DIESEL,69,13, 07/23/2025 01:00:00,N
07/23/2025,02:00,41, DEC_G1NX,  BASE CASE,70,70,0,0.005, DEC, DEC,1,13.8, 07/23/2025 01:00:00,N
07/23/2025,02:00,42, NE_LOB,  BASE CASE,1823,1823,0,0.045, , ,0,0, 07/23/2025 01:00:00,N
07/23/2025,02:00,43, NELRIO,  BASE CASE,848,848,0,1.055, , ,0,0, 07/23/2025 01:00:00,N
07/23/2025,02:00,44, ZAPSTR,  BASE CASE,225,225,0,0.62, , ,0,0, 07/23/2025 01:00:00,N
07/23/2025,02:00,45, 6437__F, DMTSCOS5,213,213,0,32.422, SCRCV, KNAPP,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,46, 6240__C, DMTSCOS5,200,200,0,5.212, SACRC, DPCRK,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,47, LPLMK_LPLNE_1, SBWDDBM5,218,218,0,4.993, LPLMK, LPLNE,115,115, 07/23/2025 01:00:00,N
07/23/2025,02:00,48, 6345__L, DMOSME25,213,213,0,54.266, SNDHT, WLFSW,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,49, 6345__L, DWLFMET5,213,213,0,54.267, SNDHT, WLFSW,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,50, 15060__B, SW_LVLT5,410,410,0,175.878, VEALMOOR, KOCHTAP,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,51, 6056__A, DBAKCED5,1226,1226,0,14.132, LNGSW, CONSW,345,345, 07/23/2025 01:00:00,N
07/23/2025,02:00,52, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,151.027, TWINBU, HARGROVE,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,53, FREER_LOBO1_1, MLOFOAV5,39,39,0,36.36, LOBO, FREER,69,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,54, DEL_MA_LAREDO1_1, MFOAVLO5,265,265,0,20.705, LAREDO, DEL_MAR,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,55, BRUNI_69_1, MFOAVLO5,37,37,0,117.377, BRUNI, BRUNI,138,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,56, LENSW_PUTN2_1,  BASE CASE,72,72,0,1.631, LENSW, PUTN,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,57, RANDAD_ZAPATA1_1,  BASE CASE,77,77,0,0.006, RANDADO, ZAPATA,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,58, HOEFSROA_T1_O,  BASE CASE,9,9,0,0.007, HOEFSROA, HOEFSROA,69,12.5, 07/23/2025 01:00:00,N
07/23/2025,02:00,59, SILASRAY_T1, XSI2L89,67,67,0,0.05, SILASRAY, SILASRAY,69,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,60, SILASRAY_T2, XSIL89,67,67,0,0.05, SILASRAY, SILASRAY,69,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,61, BELD_BRONCO1_1, XFTS89,60,60,0,0.007, BRONCO, BELD,69,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,62, SANA_FMR1, SCOLBAL8,50,50,0,2.657, SANA, SANA,138,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,63, ASHERT_CATARI1_1, SNLAGAT8,122,122,0,3.936, ASHERTON, CATARINA,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,64, LAUREL_LA_PAL1_1, SMA2P_I8,211,211,0,0.06, LAURELES, LA_PALMA,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,65, LAUREL_MARCON1_1, SMA2P_I8,211,211,0,0.492, MARCONI, LAURELES,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,66, 482T484_1, DBAKSOL5,448,448,0,2.103, OXTASW, RIOPECOS,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,67, 940__A, SPEBTRU8,241,241,0,0.157, ENWSW, TMPTN,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,68, 6217__A, SBUZHMP8,213,213,0,33.957, WLVSW, GAILS,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,69, GATEWT_WORMSE1_1, MFOAVLO5,272,272,0,29.439, WORMSER, GATEWTP,138,138, 07/23/2025 01:00:00,N
07/23/2025,02:00,70, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,120.818, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,71, ALPINE_BRONCO1_1, SCOCBAR9,60,60,0,0.002, BRONCO, ALPINE,69,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,72, BELD_BRONCO1_1, SBROALP9,60,60,0,0.002, BRONCO, BELD,69,69, 07/23/2025 01:00:00,N
07/23/2025,02:00,39, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,2.327, YELWJCKT, MENPHTAP,69,69, 07/23/2025 01:00:00,N
07/23/2025,03:00,75, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,1.163, YELWJCKT, MENPHTAP,69,69, 07/23/2025 02:00:00,N
07/23/2025,03:00,105, FTST_SOLSTI1_1, DSLKSOL5,220,220,0,0.033, SOLSTICE, FTST,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,77, DEC_G1NX,  BASE CASE,70,70,0,0.005, DEC, DEC,1,13.8, 07/23/2025 02:00:00,N
07/23/2025,03:00,78, NE_LOB,  BASE CASE,1823,1823,0,0.339, , ,0,0, 07/23/2025 02:00:00,N
07/23/2025,03:00,79, ZAPSTR,  BASE CASE,225,225,0,4.999, , ,0,0, 07/23/2025 02:00:00,N
07/23/2025,03:00,80, 6437__F, DMTSCOS5,213,213,0,6.882, SCRCV, KNAPP,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,81, 6240__C, DMTSCOS5,200,200,0,9.003, SACRC, DPCRK,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,82, LPLMK_LPLNE_1, SBWDDBM5,218,218,0,1.254, LPLMK, LPLNE,115,115, 07/23/2025 02:00:00,N
07/23/2025,03:00,83, 6345__L, DMOSME25,214,214,0,51.629, SNDHT, WLFSW,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,84, 6345__L, DWLFMET5,214,214,0,51.628, SNDHT, WLFSW,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,85, 15060__B, SW_LVLT5,411,411,0,168.69, VEALMOOR, KOCHTAP,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,86, 6056__A, DBAKCED5,1231,1231,0,13.344, LNGSW, CONSW,345,345, 07/23/2025 02:00:00,N
07/23/2025,03:00,87, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,165.606, TWINBU, HARGROVE,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,88, FREER_LOBO1_1, MLOFOAV5,39,39,0,53.695, LOBO, FREER,69,69, 07/23/2025 02:00:00,N
07/23/2025,03:00,89, DEL_MA_LAREDO1_1, MFOAVLO5,268,268,0,10.99, LAREDO, DEL_MAR,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,90, BRUNI_69_1, MFOAVLO5,37,37,0,57.199, BRUNI, BRUNI,138,69, 07/23/2025 02:00:00,N
07/23/2025,03:00,91, MAGRUD_VICTOR2_1,  BASE CASE,211,211,0,0.222, VICTORIA, MAGRUDER,138.10001,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,92, LENSW_PUTN2_1,  BASE CASE,72,72,0,1.301, LENSW, PUTN,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,93, RANDAD_ZAPATA1_1,  BASE CASE,77,77,0,0.004, RANDADO, ZAPATA,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,94, HOEFSROA_T1_O,  BASE CASE,9,9,0,0.007, HOEFSROA, HOEFSROA,69,12.5, 07/23/2025 02:00:00,N
07/23/2025,03:00,95, ASHERT_CATARI1_1, DWORNLA8,122,122,0,2.732, ASHERTON, CATARINA,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,96, SANA_FMR1, SCOLBAL8,50,50,0,1.666, SANA, SANA,138,69, 07/23/2025 02:00:00,N
07/23/2025,03:00,97, 6217__A, SBUZLME8,214,214,0,10.744, WLVSW, GAILS,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,98, 482T484_1, DBAKSOL5,448,448,0,1.18, OXTASW, RIOPECOS,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,99, 940__A, SPEBTRU8,243,243,0,0.082, ENWSW, TMPTN,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,100, 6217__A, SBUZHMP8,214,214,0,10.744, WLVSW, GAILS,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,101, GATEWT_WORMSE1_1, MFOAVLO5,275,275,0,5.855, WORMSER, GATEWTP,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,102, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,134.332, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 02:00:00,N
07/23/2025,03:00,103, VERTRE_WESLAU1_1, SMVRLA_8,156,156,0,0.081, VERTREES, WESLAU,138,138, 07/23/2025 02:00:00,N
07/23/2025,03:00,104, CELANE_N_SHAR1_1, SN_SLON5,211,211,0,0.778, N_SHARPE, CELANEBI,138,138.10001, 07/23/2025 02:00:00,N
07/23/2025,03:00,76, DIESEL_FMR1,  BASE CASE,25,25,0,0.006, DIESEL, DIESEL,69,13, 07/23/2025 02:00:00,N
07/23/2025,04:00,106, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,1.116, YELWJCKT, MENPHTAP,69,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,133, LPLMK_LPLCO_1, XLP259,131,131,0,0.129, LPLCO, LPLMK,69,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,108, ZAPATA_TRA1,  BASE CASE,25,25,0,0.006, ZAPATA, ZAPATA,138,12.5, 07/23/2025 03:00:00,N
07/23/2025,04:00,109, 6437__F, DMTSCOS5,214,214,0,4.032, SCRCV, KNAPP,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,110, 6240__C, DMTSCOS5,201,201,0,7.444, SACRC, DPCRK,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,111, DCTM_OKLA1_1, XFSH58,300,300,0,0.013, DCTM, OKLA,345,345, 07/23/2025 03:00:00,N
07/23/2025,04:00,112, 6345__L, DMOSME25,214,214,0,58.046, SNDHT, WLFSW,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,113, 6345__L, DWLFMET5,214,214,0,58.046, SNDHT, WLFSW,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,114, 15060__B, SW_LVLT5,412,412,0,157.013, VEALMOOR, KOCHTAP,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,115, 6056__A, DBAKCED5,1234,1234,0,18.494, LNGSW, CONSW,345,345, 07/23/2025 03:00:00,N
07/23/2025,04:00,116, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,206.503, TWINBU, HARGROVE,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,117, FREER_LOBO1_1, MLOFOAV5,39,39,0,18.03, LOBO, FREER,69,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,118, DEL_MA_LAREDO1_1, MFOAVLO5,269,269,0,2.318, LAREDO, DEL_MAR,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,119, BRUNI_69_1, MFOAVLO5,37,37,0,54.531, BRUNI, BRUNI,138,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,120, MAGRUD_VICTOR2_1,  BASE CASE,211,211,0,0.131, VICTORIA, MAGRUDER,138.10001,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,121, LENSW_PUTN2_1,  BASE CASE,72,72,0,1.156, LENSW, PUTN,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,122, HOEFSROA_T1_O,  BASE CASE,9,9,0,0.008, HOEFSROA, HOEFSROA,69,12.5, 07/23/2025 03:00:00,N
07/23/2025,04:00,123, BELD_BRONCO1_1, XFTS89,60,60,0,0.009, BRONCO, BELD,69,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,124, SANA_FMR1, SCOLBAL8,50,50,0,0.891, SANA, SANA,138,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,125, 6217__A, SBUZLME8,214,214,0,6.149, WLVSW, GAILS,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,126, 482T484_1, DBAKSOL5,448,448,0,0.115, OXTASW, RIOPECOS,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,127, 940__A, SPEBTRU8,245,245,0,0.07, ENWSW, TMPTN,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,128, 6217__A, SBUZHMP8,214,214,0,6.149, WLVSW, GAILS,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,129, GATEWT_WORMSE1_1, MFOAVLO5,276,276,0,7.926, WORMSER, GATEWTP,138,138, 07/23/2025 03:00:00,N
07/23/2025,04:00,130, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,169.556, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 03:00:00,N
07/23/2025,04:00,131, DCTM_OKLA1_1, MRGRFL25,300,300,0,0.013, DCTM, OKLA,345,345, 07/23/2025 03:00:00,N
07/23/2025,04:00,132, CELANE_N_SHAR1_1, SN_SLON5,211,211,0,0.153, N_SHARPE, CELANEBI,138,138.10001, 07/23/2025 03:00:00,N
07/23/2025,04:00,107, DIESEL_FMR1,  BASE CASE,25,25,0,0.007, DIESEL, DIESEL,69,13, 07/23/2025 03:00:00,N
07/23/2025,05:00,138, OLS_JNES_1, XHA2S89,60,60,0,0.102, OLSEN, JNESBORO,69,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,139, DCTM_OKLA1_1, XFSH58,300,300,0,0.019, DCTM, OKLA,345,345, 07/23/2025 04:00:00,N
07/23/2025,05:00,140, 6345__L, DMOSME25,216,216,0,58.558, SNDHT, WLFSW,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,141, 6345__L, DWLFMET5,216,216,0,58.558, SNDHT, WLFSW,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,142, 15060__B, SW_LVLT5,413,413,0,134.641, VEALMOOR, KOCHTAP,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,143, 6056__A, DBAKCED5,1243,1243,0,19.393, LNGSW, CONSW,345,345, 07/23/2025 04:00:00,N
07/23/2025,05:00,144, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,231.814, TWINBU, HARGROVE,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,145, FREER_LOBO1_1, MLOFOAV5,39,39,0,8.754, LOBO, FREER,69,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,146, DEL_MA_LAREDO1_1, MFOAVLO5,270,270,0,2.383, LAREDO, DEL_MAR,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,147, BRUNI_69_1, MFOAVLO5,37,37,0,13.325, BRUNI, BRUNI,138,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,148, LENSW_PUTN2_1,  BASE CASE,72,72,0,0.974, LENSW, PUTN,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,149, RANDAD_ZAPATA1_1,  BASE CASE,77,77,0,0.003, RANDADO, ZAPATA,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,150, SANA_FMR1, SCOLBAL8,50,50,0,0.179, SANA, SANA,138,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,151, 6217__A, SBUZLME8,216,216,0,5.082, WLVSW, GAILS,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,152, 940__A, SPEBTRU8,246,246,0,0.052, ENWSW, TMPTN,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,153, 6217__A, SBUZHMP8,216,216,0,5.082, WLVSW, GAILS,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,154, GATEWT_WORMSE1_1, MFOAVLO5,277,277,0,6.579, WORMSER, GATEWTP,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,155, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,192.974, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,156, CELANE_N_SHAR1_1, SN_SLON5,211,211,0,0.089, N_SHARPE, CELANEBI,138,138.10001, 07/23/2025 04:00:00,N
07/23/2025,05:00,134, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,1.027, YELWJCKT, MENPHTAP,69,69, 07/23/2025 04:00:00,N
07/23/2025,05:00,135, DIESEL_FMR1,  BASE CASE,25,25,0,0.007, DIESEL, DIESEL,69,13, 07/23/2025 04:00:00,N
07/23/2025,05:00,136, 6437__F, DMTSCOS5,214,214,0,1.812, SCRCV, KNAPP,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,137, 6240__C, DMTSCOS5,201,201,0,7.553, SACRC, DPCRK,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,157, FTST_SOLSTI1_1, DSLKSOL5,222,222,0,0.203, SOLSTICE, FTST,138,138, 07/23/2025 04:00:00,N
07/23/2025,05:00,158, CUELCA_THOMAS1_1, SVICCIT8,211,211,0,0.006, CUERO, THOMASTN,138,138, 07/23/2025 04:00:00,N
07/23/2025,06:00,159, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,1.074, YELWJCKT, MENPHTAP,69,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,184, GIRA_T_SPUR1_1, SWOLROT9,37,37,0,0.53, GIRA_TAP, SPUR,69,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,161, ZAPATA_TRA1,  BASE CASE,25,25,0,0.006, ZAPATA, ZAPATA,138,12.5, 07/23/2025 05:00:00,N
07/23/2025,06:00,162, 6437__F, DMTSCOS5,215,215,0,0.614, SCRCV, KNAPP,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,163, 6240__C, DMTSCOS5,202,202,0,5.32, SACRC, DPCRK,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,164, DCTM_OKLA1_1, XFSH58,300,300,0,0.009, DCTM, OKLA,345,345, 07/23/2025 05:00:00,N
07/23/2025,06:00,165, 6345__L, DMOSME25,216,216,0,50.574, SNDHT, WLFSW,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,166, 6345__L, DWLFMET5,216,216,0,50.574, SNDHT, WLFSW,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,167, 15060__B, SW_LVLT5,413,413,0,129.212, VEALMOOR, KOCHTAP,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,168, 6056__A, DBAKCED5,1245,1245,0,11.441, LNGSW, CONSW,345,345, 07/23/2025 05:00:00,N
07/23/2025,06:00,169, HARGRO_TWINBU1_1, DBAKCED5,151,151,0,219.295, TWINBU, HARGROVE,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,170, FREER_LOBO1_1, MLOFOAV5,39,39,0,2.847, LOBO, FREER,69,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,171, DEL_MA_LAREDO1_1, MFOAVLO5,271,271,0,1.908, LAREDO, DEL_MAR,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,172, BRUNI_69_1, MFOAVLO5,37,37,0,6.537, BRUNI, BRUNI,138,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,173, LENSW_PUTN2_1,  BASE CASE,72,72,0,0.917, LENSW, PUTN,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,174, 941__C, SENWSHK8,247,247,0,0.053, ENWSW, ENSSO,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,175, SANA_FMR1, SCOLBAL8,50,50,0,0.201, SANA, SANA,138,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,176, 6217__A, SBUZLME8,216,216,0,7.056, WLVSW, GAILS,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,177, 6217__A, SBUZHMP8,216,216,0,7.056, WLVSW, GAILS,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,178, GATEWT_WORMSE1_1, MFOAVLO5,278,278,0,5.223, WORMSER, GATEWTP,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,179, BIGLAK_PHBL_T1_1, SOZNFRI9,38,38,0,184.696, BIGLAKE, PHBL_TAP,69,69, 07/23/2025 05:00:00,N
07/23/2025,06:00,180, GATEWT_WORMSE1_1, MLOFOAV5,278,278,0,0.669, WORMSER, GATEWTP,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,181, DCTM_OKLA1_1, MRGRFL25,300,300,0,0.009, DCTM, OKLA,345,345, 07/23/2025 05:00:00,N
07/23/2025,06:00,182, FTST_SOLSTI1_1, DSLKSOL5,222,222,0,0.383, SOLSTICE, FTST,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,183, CUELCA_THOMAS1_1, SVICCIT8,211,211,0,0.021, CUERO, THOMASTN,138,138, 07/23/2025 05:00:00,N
07/23/2025,06:00,160, DIESEL_FMR1,  BASE CASE,25,25,0,0.006, DIESEL, DIESEL,69,13, 07/23/2025 05:00:00,N
07/23/2025,07:00,185, MENPHT_YELWJC1_1,  BASE CASE,60,60,0,1.134, YELWJCKT, MENPHTAP,69,69, 07/23/2025 06:00:00,N
