bus,sub,lat,lon
1089,54,32.929648,-102.133506
1090,55,31.995,-102.828333
1091,56,33.658671,-101.531037
1093,1251,31.843422,-102.868295
1094,1251,31.843422,-102.868295
1095,1252,31.624,-101.65
1096,1252,31.624,-101.65
1097,1252,31.624,-101.65
1099,1253,31.703258,-102.701206
1100,1253,31.703258,-102.701206
1101,1254,32.460054,-102.672809
1102,1254,32.460054,-102.672809
1103,1255,32.377,-101.368
1104,1255,32.377,-101.368
1105,1256,31.683,-101.152
1106,1256,31.683,-101.152
1107,1257,32.055,-101.46
1108,1257,32.055,-101.46
1109,1258,32.22,-102.68
1110,1258,32.22,-102.68
1111,1259,32.239,-101.014
1112,1259,32.239,-101.014
1113,1260,31.7983,-101.9043
1114,1260,31.7983,-101.9043
1115,1261,32.21,-102.314
1116,1261,32.21,-102.314
1117,1262,32.271,-102.1
1118,1262,32.271,-102.1
1119,1263,32.173,-101.28
1120,1263,32.173,-101.28
1121,1264,32.414,-101.558
1122,1264,32.414,-101.558
1123,1265,31.726,-101.836
1124,1265,31.726,-101.836
1125,1266,31.939,-102.78
1126,1266,31.939,-102.78
1127,1267,32.411,-101.826
1128,1267,32.411,-101.826
1129,1268,31.865,-102.426
1130,1268,31.865,-102.426
1131,1269,32.309,-101.902
1132,1269,32.309,-101.902
1133,1270,32.319,-101.362
1134,1270,32.319,-101.362
2001,57,33.63291,-95.39071
2002,58,33.628143,-96.367605
2003,58,33.628143,-96.367605
2007,59,33.615167,-95.900109
2008,60,34.857258,-100.512868
2009,61,33.973297,-98.721096
2010,62,33.915315,-99.740278
2011,63,35.238333,-101.310833
2012,63,35.238333,-101.310833
2013,63,35.238333,-101.310833
2014,64,34.447226,-100.809848
2015,65,33.471617,-97.445189
2016,66,33.627623,-96.767394
2017,67,35.4275,-101.253056
2018,67,35.4275,-101.253056
2019,67,35.4275,-101.253056
2020,68,33.943784,-98.523064
2021,69,33.6968,-95.5577
2022,69,33.6968,-95.5577
2023,69,33.6968,-95.5577
2024,69,33.6968,-95.5577
2025,70,33.864515,-98.491046
2026,71,35.830763,-100.765905
2027,72,33.481551,-95.269247
2028,73,34.004783,-98.388757
2029,74,34.432267,-101.237233
2030,75,33.708311,-96.240654
2031,76,33.710684,-100.384217
2032,77,33.857868,-95.649137
2033,78,33.500378,-96.146489
2034,79,33.830932,-96.839764
2035,80,33.431837,-99.853667
2036,81,33.894941,-98.54367
2037,82,33.54915,-97.32958
2038,83,33.55352,-96.282897
2039,84,33.455991,-97.751818
2040,85,33.663063,-94.997258
2041,86,35.386038,-101.578572
2042,86,35.386038,-101.578572
2043,87,33.737974,-96.839543
2044,88,33.743893,-96.936121
2045,89,33.969523,-98.509016
2046,90,33.800717,-96.725989
2047,91,33.623645,-96.427874
2048,92,33.752201,-100.967402
2049,93,34.102943,-99.118746
2050,94,33.39167,-95.42519
2051,95,33.75849,-98.202251
2052,96,34.90076,-100.994549
2053,97,33.520572,-97.95612
2054,98,33.9133,-98.4931
2055,98,33.9133,-98.4931
2058,99,35.4789,-101.2439
2060,100,33.576823,-95.809701
2061,101,34.292913,-99.367734
2062,101,34.292913,-99.367734
2063,102,33.8181,-96.5692
2064,103,33.745236,-95.744327
2065,104,33.661583,-97.17635
2066,105,33.183064,-100.245133
2067,106,33.799085,-98.50984
2068,107,33.509722,-98.360833
2069,108,33.450768,-96.742245
2070,109,33.493056,-98.581944
2071,109,33.493056,-98.581944
2072,110,33.537706,-96.906575
2073,111,32.96736,-100.56428
2074,111,32.96736,-100.56428
2076,111,32.96736,-100.56428
2077,112,33.733006,-97.428406
2078,112,33.733006,-97.428406
2079,113,33.994322,-100.287247
2080,114,33.793074,-97.963802
2081,115,33.615539,-96.072156
2082,116,33.8625,-98.5894
2083,116,33.8625,-98.5894
2084,116,33.8625,-98.5894
2085,116,33.8625,-98.5894
2086,117,33.626904,-97.687873
2087,118,33.341053,-100.714732
2088,119,33.495278,-98.5
2089,119,33.495278,-98.5
2090,120,33.498221,-94.890845
2091,121,33.57824,-99.1921
2092,122,33.727126,-96.470794
2093,123,35.3503,-101.54
2096,124,33.713671,-101.433811
2097,124,33.713671,-101.433811
2098,124,33.713671,-101.433811
2099,124,33.713671,-101.433811
2101,125,33.582573,-96.617893
2102,125,33.582573,-96.617893
2103,125,33.582573,-96.617893
2104,125,33.582573,-96.617893
2105,125,33.582573,-96.617893
2106,126,33.498186,-96.378894
2107,127,33.604131,-96.550405
2108,128,33.345366,-99.624257
2109,129,34.103273,-98.622467
2110,130,33.703851,-97.372009
2111,131,33.527396,-98.884782
2112,132,34.008308,-98.25932
2113,133,33.6308,-95.59
2114,133,33.6308,-95.59
2115,133,33.6308,-95.59
2116,133,33.6308,-95.59
2117,133,33.6308,-95.59
2118,133,33.6308,-95.59
2119,133,33.6308,-95.59
2120,133,33.6308,-95.59
2121,134,33.801868,-95.151966
2122,135,33.778716,-95.996823
2123,136,35.442778,-101.372778
2124,137,33.43566,-96.549913
2125,138,33.464643,-96.892724
2126,139,33.458028,-97.128552
2127,140,35.653889,-100.538611
2128,140,35.653889,-100.538611
2129,141,33.439125,-96.311485
2130,142,33.186882,-99.595332
2131,142,33.186882,-99.595332
2133,143,33.741367,-97.535329
3001,144,30.036701,-99.163039
3002,144,30.036701,-99.163039
3003,145,32.3606,-100.3389
3004,145,32.3606,-100.3389
3005,146,29.64447,-99.682471
3006,147,32.857004,-100.124032
3007,148,32.473621,-100.032723
3008,149,31.736902,-99.567791
3009,150,30.441414,-100.56062
3010,151,29.6747,-100.078588
3011,152,30.653746,-98.918266
3012,153,30.437069,-98.708714
3013,154,32.335677,-99.667488
3014,155,30.731599,-98.385422
3015,156,32.415212,-100.573539
3016,157,32.255978,-100.320309
3017,157,32.255978,-100.320309
3018,158,31.048557,-100.623114
3019,158,31.048557,-100.623114
3020,158,31.048557,-100.623114
3021,159,32.783669,-99.720186
3022,160,32.3358,-100.9156
3023,161,32.940911,-99.850964
3024,162,30.883539,-100.595464
3025,163,31.157093,-98.763991
3026,164,32.6256,-99.4928
3027,164,32.6256,-99.4928
3028,164,32.6256,-99.4928
3029,165,31.257224,-98.376742
3030,166,31.50972,-100.322075
3031,167,32.274081,-99.826041
3032,168,32.333551,-99.927724
3033,169,32.631073,-101.008494
3034,169,32.631073,-101.008494
3035,170,30.93982,-99.079893
3036,171,31.5481,-99.1872
3037,172,32.4694,-100.6664
3038,172,32.4694,-100.6664
3039,172,32.4694,-100.6664
3040,173,31.738576,-99.934162
3041,174,32.05,-100.6917
3042,174,32.05,-100.6917
3046,175,32.3122,-100.5303
3047,175,32.3122,-100.5303
3048,175,32.3122,-100.5303
3049,176,32.796921,-99.880885
3050,177,29.83722,-101.212436
3051,177,29.83722,-101.212436
3052,178,30.095115,-99.628211
3053,179,32.214024,-100.05712
3054,179,32.214024,-100.05712
3055,179,32.214024,-100.05712
3056,179,32.214024,-100.05712
3057,179,32.214024,-100.05712
3058,180,31.951958,-101.018936
3059,180,31.951958,-101.018936
3060,180,31.951958,-101.018936
3061,180,31.951958,-101.018936
3062,180,31.951958,-101.018936
3063,180,31.951958,-101.018936
3064,181,32.199366,-100.491908
3065,181,32.199366,-100.491908
3066,182,31.176951,-99.616412
3067,183,32.4301,-100.235652
3068,183,32.4301,-100.235652
3069,184,32.120249,-99.753027
3070,185,32.2878,-100.1
3071,185,32.2878,-100.1
3072,186,31.534768,-100.113803
3073,187,29.234722,-100.209167
3074,187,29.234722,-100.209167
3075,188,30.843122,-99.570053
3076,189,29.395621,-100.439985
3077,190,32.362783,-99.817314
3078,191,32.5886,-100.6728
3079,191,32.5886,-100.6728
3080,191,32.5886,-100.6728
3081,191,32.5886,-100.6728
3082,192,32.318221,-100.176986
3083,192,32.318221,-100.176986
3084,192,32.318221,-100.176986
3085,193,32.4375,-100.7444
3086,193,32.4375,-100.7444
3087,193,32.4375,-100.7444
3088,194,32.5144,-99.6564
3089,194,32.5144,-99.6564
3091,194,32.5144,-99.6564
3092,194,32.5144,-99.6564
3093,195,29.988092,-100.286076
3094,196,32.311556,-100.061589
3095,196,32.311556,-100.061589
3096,197,32.94793,-101.147784
3097,197,32.94793,-101.147784
3098,197,32.94793,-101.147784
3099,198,32.415823,-99.90623
3100,199,32.630473,-99.830642
3101,200,30.936768,-98.467066
3102,201,32.576489,-99.665323
3103,202,32.291861,-100.210748
3104,203,30.7507,-98.4176
3105,203,30.7507,-98.4176
3106,203,30.7507,-98.4176
3107,204,30.159136,-99.345011
3108,205,31.088158,-98.01069
3109,206,32.931944,-101.143611
3110,206,32.931944,-101.143611
3111,207,31.951944,-100.791389
3112,207,31.951944,-100.791389
3113,207,31.951944,-100.791389
3114,208,31.268843,-100.563525
3115,209,32.969722,-100.524167
3116,210,32.718056,-100.793333
3117,210,32.718056,-100.793333
3119,211,29.325033,-100.391847
3120,211,29.325033,-100.391847
3121,212,32.4969,-100.5797
3122,212,32.4969,-100.5797
3123,213,29.151012,-100.01587
3124,214,30.280938,-98.876683
3125,215,32.462235,-99.715894
3126,216,29.291845,-99.612368
3127,217,32.290833,-100.4219
3128,218,32.404869,-100.711396
3129,219,32.3983,-100.6481
3130,220,31.802748,-101.055625
3131,221,32.303889,-100.021667
3132,222,31.262546,-99.843961
3133,223,32.7204,-100.9952
3134,223,32.7204,-100.9952
3136,223,32.7204,-100.9952
3137,224,32.4081,-100.1286
3138,225,30.897544,-100.107479
3139,226,31.858516,-100.165338
3140,227,32.052075,-99.69465
3141,228,32.3472,-100.3703
3142,229,31.289523,-100.15267
3143,230,31.515316,-99.380601
3144,231,31.411505,-99.682323
3145,232,32.664859,-100.212875
3146,233,30.45867,-100.06915
3147,234,31.102377,-98.25934
4002,235,29.358523,-100.777486
4003,236,26.461461,-98.285881
4004,237,27.833509,-99.685482
4005,237,27.833509,-99.685482
4006,238,27.32,-99.0
4007,239,26.189433,-98.322929
4008,240,29.079849,-98.642309
4009,241,27.022112,-97.498478
4010,241,27.022112,-97.498478
4011,242,27.100448,-98.789966
4012,243,26.083177,-97.96214
4013,244,26.3403,-98.19
4014,245,28.476396,-100.276888
4015,245,28.476396,-100.276888
4016,246,28.790915,-98.717634
4017,247,27.627121,-97.269242
4018,248,28.197778,-97.444953
4019,249,26.090103,-97.798453
4020,250,27.5925,-97.500833
4021,251,26.376651,-97.993045
4022,252,28.041684,-99.399193
4023,253,28.941736,-98.851298
4024,254,28.7044,-98.4775
4025,254,28.7044,-98.4775
4026,254,28.7044,-98.4775
4027,255,26.166944,-98.325
4028,256,28.7128,-97.214167
4029,256,28.7128,-97.214167
4030,256,28.7128,-97.214167
4031,257,27.128233,-99.33083
4032,258,27.444204,-97.865597
4033,259,27.513811,-99.502143
4034,260,26.111189,-98.241746
4035,261,27.811083,-97.595813
4036,262,28.888748,-99.562652
4037,263,28.2078,-97.522673
4038,264,28.407712,-97.71062
4039,265,26.169846,-98.329793
4040,265,26.169846,-98.329793
4041,266,26.230677,-98.114039
4042,266,26.230677,-98.114039
4043,267,26.649,-99.0387
4044,268,26.5575,-99.1642
4045,268,26.5575,-99.1642
4046,268,26.5575,-99.1642
4047,268,26.5575,-99.1642
4048,269,26.242813,-98.494493
4049,270,26.364843,-97.545341
4050,270,26.364843,-97.545341
4051,271,27.5697,-97.8228
4052,271,27.5697,-97.8228
4053,272,26.911014,-97.773774
4054,273,28.246189,-97.650894
4055,274,27.819419,-97.392456
4056,275,27.882778,-97.242778
4057,275,27.882778,-97.242778
4058,275,27.882778,-97.242778
4059,275,27.882778,-97.242778
4060,275,27.882778,-97.242778
4064,276,27.81922,-97.535461
4065,276,27.81922,-97.535461
4066,277,26.158622,-97.989155
4067,278,26.179999,-97.725607
4068,279,26.296101,-98.0096
4069,280,27.8175,-97.4814
4070,281,25.943923,-97.317944
4071,281,25.943923,-97.317944
4072,282,27.768021,-97.399135
4073,283,26.208,-98.3992
4074,283,26.208,-98.3992
4075,283,26.208,-98.3992
4076,283,26.208,-98.3992
4077,283,26.208,-98.3992
4078,284,27.729894,-97.385247
4079,285,26.318913,-98.370054
4080,286,27.6064,-97.3117
4081,286,27.6064,-97.3117
4082,286,27.6064,-97.3117
4083,286,27.6064,-97.3117
4084,286,27.6064,-97.3117
4085,286,27.6064,-97.3117
4086,287,26.249888,-97.511842
4087,288,27.695151,-97.269443
4088,289,26.149684,-98.189714
4089,290,26.269683,-97.867012
4090,290,26.269683,-97.867012
4099,291,27.992706,-97.743983
4100,292,27.833756,-97.496523
4101,293,27.634677,-99.258329
4102,294,26.074676,-97.52318
4103,295,26.451111,-98.1775
4104,296,27.9386,-97.4586
4105,296,27.9386,-97.4586
4106,297,26.125979,-97.377599
4107,298,26.1619,-98.058657
4108,299,27.88929,-97.258417
4109,300,27.683277,-97.406289
4110,301,26.235,-97.271778
4111,302,26.232466,-97.823173
4112,303,27.139147,-97.90137
4113,304,27.5667,-99.5089
4114,304,27.5667,-99.5089
4115,304,27.5667,-99.5089
4116,304,27.5667,-99.5089
4117,305,28.764536,-98.48596
4118,306,28.257475,-98.143051
4119,307,26.523359,-99.017108
4120,308,27.752006,-97.436501
4121,309,26.100103,-97.798453
4122,310,26.34172,-98.175759
4123,311,27.662514,-97.371365
4124,312,26.880517,-98.216213
4125,313,28.621959,-97.937625
4126,314,25.988942,-97.443582
4127,315,27.65992,-98.07572
4128,316,26.582929,-98.521632
4129,317,27.634419,-98.496692
4130,318,27.835918,-98.62897
4131,319,28.9377,-99.10765
4132,319,28.9377,-99.10765
4133,319,28.9377,-99.10765
4139,320,28.093161,-97.962915
4140,321,27.223056,-97.789167
4141,321,27.223056,-97.789167
4143,322,28.703396,-99.191188
4144,323,27.986244,-98.060187
4145,324,27.892132,-97.384238
4146,325,27.373543,-99.350596
4147,325,27.373543,-99.350596
4148,326,28.310347,-98.573186
4149,327,28.120701,-97.19689
4150,328,27.73963,-97.46682
4151,329,27.0011,-97.5994
4152,329,27.0011,-97.5994
4153,329,27.0011,-97.5994
4154,330,26.321607,-98.476164
4155,331,26.253727,-98.567191
4156,332,27.703573,-97.345045
4157,333,26.296434,-98.299977
4158,334,27.819412,-97.419203
4159,334,27.819412,-97.419203
4160,334,27.819412,-97.419203
4161,334,27.819412,-97.419203
4162,334,27.819412,-97.419203
4164,335,26.274827,-98.654824
4165,336,27.122529,-97.557372
4166,336,27.122529,-97.557372
4167,337,26.477435,-97.921496
4168,338,27.8139,-97.4283
4169,339,28.170179,-97.817507
4170,340,27.873028,-97.092196
4171,341,26.106086,-97.629292
4172,342,28.935779,-98.428996
4173,343,28.291147,-96.899059
4174,344,29.203679,-98.776694
4175,345,27.751747,-99.126085
4176,346,27.576111,-98.905278
4177,346,27.576111,-98.905278
4178,347,28.568278,-97.579237
4179,348,27.849558,-98.385775
4180,349,27.777437,-97.114983
4181,350,27.9958,-97.2967
4182,350,27.9958,-97.2967
4183,351,26.500883,-97.599064
4184,351,26.500883,-97.599064
4185,352,26.930929,-99.162765
4186,353,26.364153,-97.780439
4187,354,28.293173,-99.214344
4188,355,28.951173,-100.593386
4189,356,28.524903,-99.50848
4190,357,27.456115,-99.417339
4191,358,26.569308,-97.442331
4192,359,25.94113,-97.53276
4193,359,25.94113,-97.53276
4194,361,26.34892,-97.6668
4195,913,27.488056,-99.005278
4196,913,27.488056,-99.005278
4197,913,27.488056,-99.005278
5003,362,32.911702,-96.674838
5004,363,32.158265,-96.329632
5005,364,32.527015,-98.008849
5006,365,32.969699,-96.797334
5007,366,33.231569,-97.109882
5008,367,32.790131,-99.24184
5009,368,32.864887,-96.790359
5010,369,33.031561,-96.673164
5011,370,31.299588,-96.608952
5012,371,33.214869,-97.209692
5013,372,31.842565,-98.805134
5014,373,33.276319,-97.514178
5015,374,32.928037,-97.283914
5016,374,32.928037,-97.283914
5017,375,33.198704,-97.311628
5018,376,33.052226,-98.328415
5019,376,33.052226,-98.328415
5020,376,33.052226,-98.328415
5021,377,32.7206,-97.5142
5022,377,32.7206,-97.5142
5024,378,31.417256,-97.755604
5025,379,32.276663,-97.508356
5026,380,32.639029,-97.335106
5027,381,32.667305,-97.416615
5028,382,32.823978,-97.048681
5029,383,31.291151,-97.260738
5030,384,32.853068,-97.6966
5031,385,33.151747,-96.483157
5032,386,32.746823,-96.802681
5033,387,32.648611,-96.644444
5034,387,32.648611,-96.644444
5043,388,32.945503,-96.375325
5044,389,33.041942,-97.597083
5045,390,32.282235,-98.196717
5046,390,32.282235,-98.196717
5047,391,32.503973,-97.188374
5048,391,32.503973,-97.188374
5049,392,33.1707,-96.1264
5050,392,33.1707,-96.1264
5051,392,33.1707,-96.1264
5052,392,33.1707,-96.1264
5053,393,33.090085,-96.740008
5054,394,31.503056,-96.520013
5055,395,33.1344,-98.6117
5056,395,33.1344,-98.6117
5057,395,33.1344,-98.6117
5058,395,33.1344,-98.6117
5059,396,32.277759,-96.105332
5060,396,32.277759,-96.105332
5063,397,32.775093,-97.14209
5064,397,32.775093,-97.14209
5070,398,32.781246,-96.878831
5071,399,31.576824,-97.127249
5072,400,32.997373,-96.788213
5073,401,31.706204,-99.151374
5074,402,33.241902,-96.807989
5075,403,31.553908,-98.049081
5076,404,32.819566,-96.184835
5077,404,32.819566,-96.184835
5078,405,33.273449,-96.990119
5079,406,31.513756,-97.152983
5080,407,31.34904,-97.21786
5081,408,31.114983,-97.845111
5082,409,32.692105,-97.086517
5083,410,33.172033,-96.69627
5084,410,33.172033,-96.69627
5085,411,32.665618,-96.873056
5086,412,32.719328,-97.155028
5087,413,32.139,-97.06
5088,414,31.8594,-97.3586
5089,414,31.8594,-97.3586
5090,415,32.831279,-96.771191
5091,416,32.038687,-96.807932
5092,417,32.280923,-97.16076
5093,418,32.986624,-97.377255
5094,419,32.23256,-96.706121
5095,420,33.110351,-97.005469
5096,421,33.021793,-96.615482
5097,422,32.814107,-97.091323
5098,423,32.581858,-97.420575
5099,424,33.03489,-97.124906
5100,425,32.770635,-96.746362
5101,426,31.891101,-98.614553
5102,427,32.976063,-96.74208
5103,427,32.976063,-96.74208
5104,428,32.620058,-97.274934
5105,429,32.9192,-96.9894
5108,430,32.636077,-96.964622
5109,431,32.562744,-96.752161
5110,432,32.764096,-98.276879
5111,433,32.960047,-96.838522
5112,434,32.001481,-97.8826
5113,435,33.310446,-97.369773
5114,436,32.568801,-96.255103
5115,437,33.16114,-96.239739
5116,438,33.034225,-96.811607
5117,439,32.691147,-97.262625
5118,440,32.428686,-99.159114
5119,441,33.014983,-98.053654
5120,442,31.748303,-99.032891
5121,442,31.748303,-99.032891
5122,443,32.841987,-96.702574
5123,444,31.202394,-96.814239
5124,444,31.202394,-96.814239
5125,445,32.784952,-97.100052
5126,446,32.912633,-96.736637
5127,447,31.769003,-97.804426
5128,448,32.753141,-96.839613
5129,449,31.5481,-98.49491
5130,450,33.021268,-96.741558
5131,451,31.051688,-97.499909
5132,451,31.051688,-97.499909
5133,452,32.362649,-97.924354
5134,453,32.804272,-98.892466
5135,454,32.495875,-98.66402
5136,455,33.457143,-95.667897
5137,456,31.475671,-97.083854
5138,456,31.475671,-97.083854
5139,457,32.923189,-96.891721
5140,458,31.486416,-97.706884
5141,459,33.321734,-96.378479
5142,460,31.285086,-97.390061
5143,461,32.775915,-97.180963
5144,462,31.627123,-97.215893
5145,463,32.72944,-96.996462
5146,464,32.938077,-96.556367
5147,465,33.075422,-96.802686
5148,466,32.874833,-96.996735
5149,467,32.878497,-96.707819
5150,468,33.276426,-98.382374
5151,469,31.988989,-97.52976
5152,470,32.969008,-96.580883
5153,471,33.098727,-97.723422
5154,472,32.116002,-97.343521
5155,473,32.759373,-98.666449
5156,474,31.931233,-98.927404
5157,475,32.599427,-96.864075
5158,476,32.771707,-96.616717
5159,477,31.029028,-96.934783
5160,478,33.208811,-97.055133
5161,479,32.824924,-96.679438
5162,480,31.661047,-96.955129
5163,481,31.075955,-97.604369
5164,482,33.1975,-97.1061
5165,482,33.1975,-97.1061
5166,482,33.1975,-97.1061
5167,482,33.1975,-97.1061
5168,483,32.868529,-96.876118
5169,484,32.338659,-98.476051
5170,484,32.338659,-98.476051
5171,485,32.043976,-96.91458
5172,486,32.682733,-97.782298
5173,487,33.056756,-96.730831
5174,488,31.8932,-96.8751
5175,489,33.149467,-97.096016
5176,490,32.904994,-98.324274
5177,491,32.635563,-97.148829
5178,492,32.851681,-96.43617
5179,493,32.067483,-96.585136
5180,493,32.067483,-96.585136
5181,494,32.928902,-96.619782
5182,495,31.476579,-97.728745
5183,496,32.962473,-96.89817
5184,497,32.775409,-97.435599
5185,498,33.093365,-97.462793
5186,499,32.452281,-97.072628
5187,500,33.250203,-98.925556
5188,501,33.050164,-96.87454
5189,502,32.802132,-96.788852
5190,503,32.587603,-98.333604
5191,504,31.916215,-97.710123
5192,505,30.936006,-97.934579
5193,505,30.936006,-97.934579
5194,506,32.66066,-96.911882
5195,507,33.114675,-97.173782
5196,508,33.205801,-98.365069
5197,508,33.205801,-98.365069
5198,508,33.205801,-98.365069
5199,509,32.759104,-97.329756
5200,510,32.799602,-98.126806
5201,511,31.710422,-96.818676
5202,512,32.229113,-96.475509
5203,513,32.999309,-96.841688
5204,514,33.101,-97.9574
5205,514,33.101,-97.9574
5206,514,33.101,-97.9574
5207,514,33.101,-97.9574
5208,514,33.101,-97.9574
5209,515,32.083522,-97.736712
5210,516,32.830658,-97.145157
5211,517,31.848506,-96.807276
5212,518,32.439873,-96.678049
5213,519,32.880196,-96.651555
5214,520,32.711405,-96.838591
5215,521,33.371246,-96.933242
5216,522,32.724047,-97.269432
5217,523,32.840011,-97.225295
5218,524,33.099993,-97.340499
5219,525,32.533273,-96.428985
5220,526,33.373051,-97.213359
5221,527,31.149208,-97.633196
5222,528,32.436676,-96.079558
5223,529,31.654919,-96.468137
5224,530,33.005262,-96.896742
5225,531,33.030354,-96.357203
5226,532,31.686677,-98.776277
5227,533,32.758408,-96.301323
5228,534,32.665447,-96.759451
5229,535,32.750602,-96.756846
5230,536,32.811847,-96.812903
5231,537,31.738177,-98.213739
5232,538,32.692186,-97.133304
5233,539,32.860285,-97.086028
5234,540,33.163129,-96.790192
5235,541,30.925736,-97.59865
5236,542,33.383611,-98.711944
5237,542,33.383611,-98.711944
5238,542,33.383611,-98.711944
5239,543,31.383333,-98.466667
5240,543,31.383333,-98.466667
5241,543,31.383333,-98.466667
5243,543,31.383333,-98.466667
5244,544,32.70065,-97.386965
5245,545,32.925765,-97.071545
5246,546,32.208483,-97.795247
5247,547,32.117538,-97.575601
5248,548,32.852971,-97.130443
5249,549,32.787009,-97.523856
5250,550,32.767119,-96.689321
5251,551,32.776671,-97.009389
5252,552,32.902679,-96.793393
5253,553,33.03271,-97.06007
5254,554,33.009335,-97.22672
5255,555,32.704456,-97.993148
5256,556,32.237512,-96.842324
5257,557,32.177712,-96.85118
5258,558,32.7563,-96.4916
5259,559,33.068055,-96.452481
5260,560,32.298365,-97.785515
5261,560,32.298365,-97.785515
5262,560,32.298365,-97.785515
5263,560,32.298365,-97.785515
5264,561,32.298594,-98.552257
5265,562,32.924009,-97.225148
5266,563,32.580181,-96.964675
5267,564,31.409518,-97.531134
5268,565,33.316269,-95.788968
5269,566,32.467194,-97.054333
5270,567,31.816191,-97.243292
5271,568,30.789254,-97.291628
5272,569,32.792496,-96.772763
5273,570,32.963417,-96.984664
5274,571,32.605192,-96.674333
5275,572,31.85346,-96.624458
5276,573,31.468564,-96.794168
5277,574,33.176495,-96.950551
5278,575,31.075303,-97.252433
5279,576,31.055833,-97.317222
5280,576,31.055833,-97.317222
5281,576,31.055833,-97.317222
5282,576,31.055833,-97.317222
5283,576,31.055833,-97.317222
5284,577,32.986,-96.085998
5285,578,33.315883,-97.857678
5286,579,32.075301,-98.34862
5287,580,32.59121,-97.039429
5288,581,33.420872,-95.945707
5289,582,32.944622,-96.801792
5290,583,31.8694,-97.3667
5291,584,32.913522,-97.433835
5292,585,32.847326,-97.482178
5293,586,32.425936,-97.539874
5294,587,32.873485,-96.747539
5295,588,33.166944,-96.601666
5296,588,33.166944,-96.601666
5304,589,33.089587,-96.607767
5305,589,33.089587,-96.607767
5306,590,32.695708,-97.631482
5307,591,33.070292,-96.912391
5308,592,32.8358,-96.5458
5309,593,32.828651,-96.745951
5310,594,32.868421,-97.252132
5311,595,32.84831,-96.825474
5312,596,32.900196,-97.561179
5313,597,32.63852,-96.695516
5314,598,31.662159,-97.506079
5315,599,33.261505,-97.238057
5316,600,32.817309,-96.630277
5317,601,32.337679,-97.734612
5318,601,32.337679,-97.734612
5319,601,32.337679,-97.734612
5320,601,32.337679,-97.734612
5321,601,32.337679,-97.734612
5322,602,32.7231,-96.9358
5323,602,32.7231,-96.9358
5324,602,32.7231,-96.9358
5325,602,32.7231,-96.9358
5326,602,32.7231,-96.9358
5327,603,31.77471,-96.828196
5328,604,31.346717,-97.082774
5329,605,32.711324,-96.781215
5330,606,32.754272,-97.083196
5331,607,33.338899,-96.752977
5332,608,32.904444,-97.386111
5333,609,32.521773,-96.807315
5334,610,32.2664,-99.518879
5335,611,32.885259,-96.942108
5336,612,32.897846,-96.550385
5337,613,33.143056,-98.161111
